기준년월,지자체,방문자 구분,방문자수
202305,신사동,현지인방문자(a),1052992
202305,신사동,외지인방문자(b),1606766
202305,신사동,외국인방문자(c),20319
202305,신사동,외부방문자(b+c),1627085
202305,신사동,전체방문자(a+b+c),2680077
202305,압구정동,현지인방문자(a),1340448
202305,압구정동,외지인방문자(b),1920740
202305,압구정동,외국인방문자(c),21386
202305,압구정동,외부방문자(b+c),1942126
202305,압구정동,전체방문자(a+b+c),3282574
202305,청담동,현지인방문자(a),1366302
202305,청담동,외지인방문자(b),1489008
202305,청담동,외국인방문자(c),13983
202305,청담동,외부방문자(b+c),1502992
202305,청담동,전체방문자(a+b+c),2869294
202305,삼성1동,현지인방문자(a),1664036
202305,삼성1동,외지인방문자(b),2567201
202305,삼성1동,외국인방문자(c),36201
202305,삼성1동,외부방문자(b+c),2603402
202305,삼성1동,전체방문자(a+b+c),4267438
202306,신사동,현지인방문자(a),1013982
202306,신사동,외지인방문자(b),1622842
202306,신사동,외국인방문자(c),22047
202306,신사동,외부방문자(b+c),1644888
202306,신사동,전체방문자(a+b+c),2658870
202306,압구정동,현지인방문자(a),1277756
202306,압구정동,외지인방문자(b),1947620
202306,압구정동,외국인방문자(c),25157
202306,압구정동,외부방문자(b+c),1972777
202306,압구정동,전체방문자(a+b+c),3250533
202306,청담동,현지인방문자(a),1257120
202306,청담동,외지인방문자(b),1434352
202306,청담동,외국인방문자(c),15648
202306,청담동,외부방문자(b+c),1450001
202306,청담동,전체방문자(a+b+c),2707120
202306,삼성1동,현지인방문자(a),1542345
202306,삼성1동,외지인방문자(b),2492091
202306,삼성1동,외국인방문자(c),39261
202306,삼성1동,외부방문자(b+c),2531352
202306,삼성1동,전체방문자(a+b+c),4073697
202307,신사동,현지인방문자(a),1009712
202307,신사동,외지인방문자(b),1632155
202307,신사동,외국인방문자(c),26486
202307,신사동,외부방문자(b+c),1658641
202307,신사동,전체방문자(a+b+c),2668353
202307,압구정동,현지인방문자(a),1300632
202307,압구정동,외지인방문자(b),2015811
202307,압구정동,외국인방문자(c),32697
202307,압구정동,외부방문자(b+c),2048508
202307,압구정동,전체방문자(a+b+c),3349140
202307,청담동,현지인방문자(a),1242238
202307,청담동,외지인방문자(b),1435595
202307,청담동,외국인방문자(c),20275
202307,청담동,외부방문자(b+c),1455870
202307,청담동,전체방문자(a+b+c),2698107
202307,삼성1동,현지인방문자(a),1568178
202307,삼성1동,외지인방문자(b),2763568
202307,삼성1동,외국인방문자(c),53460
202307,삼성1동,외부방문자(b+c),2817028
202307,삼성1동,전체방문자(a+b+c),4385207
202308,신사동,현지인방문자(a),983731
202308,신사동,외지인방문자(b),1553139
202308,신사동,외국인방문자(c),26117
202308,신사동,외부방문자(b+c),1579256
202308,신사동,전체방문자(a+b+c),2562987
202308,압구정동,현지인방문자(a),1260231
202308,압구정동,외지인방문자(b),1896626
202308,압구정동,외국인방문자(c),31693
202308,압구정동,외부방문자(b+c),1928318
202308,압구정동,전체방문자(a+b+c),3188549
202308,청담동,현지인방문자(a),1232136
202308,청담동,외지인방문자(b),1412918
202308,청담동,외국인방문자(c),18999
202308,청담동,외부방문자(b+c),1431917
202308,청담동,전체방문자(a+b+c),2664054
202308,삼성1동,현지인방문자(a),1550101
202308,삼성1동,외지인방문자(b),2555420
202308,삼성1동,외국인방문자(c),52627
202308,삼성1동,외부방문자(b+c),2608047
202308,삼성1동,전체방문자(a+b+c),4158148
202309,신사동,현지인방문자(a),924738
202309,신사동,외지인방문자(b),1511150
202309,신사동,외국인방문자(c),33517
202309,신사동,외부방문자(b+c),1544666
202309,신사동,전체방문자(a+b+c),2469405
202309,압구정동,현지인방문자(a),1241090
202309,압구정동,외지인방문자(b),1903360
202309,압구정동,외국인방문자(c),40312
202309,압구정동,외부방문자(b+c),1943672
202309,압구정동,전체방문자(a+b+c),3184761
202309,청담동,현지인방문자(a),1176931
202309,청담동,외지인방문자(b),1418424
202309,청담동,외국인방문자(c),24728
202309,청담동,외부방문자(b+c),1443152
202309,청담동,전체방문자(a+b+c),2620083
202309,삼성1동,현지인방문자(a),1415432
202309,삼성1동,외지인방문자(b),2128962
202309,삼성1동,외국인방문자(c),54056
202309,삼성1동,외부방문자(b+c),2183019
202309,삼성1동,전체방문자(a+b+c),3598450
202310,신사동,현지인방문자(a),973262
202310,신사동,외지인방문자(b),1574206
202310,신사동,외국인방문자(c),42385
202310,신사동,외부방문자(b+c),1616591
202310,신사동,전체방문자(a+b+c),2589853
202310,압구정동,현지인방문자(a),1288735
202310,압구정동,외지인방문자(b),1949563
202310,압구정동,외국인방문자(c),47378
202310,압구정동,외부방문자(b+c),1996941
202310,압구정동,전체방문자(a+b+c),3285676
202310,청담동,현지인방문자(a),1219508
202310,청담동,외지인방문자(b),1482932
202310,청담동,외국인방문자(c),29804
202310,청담동,외부방문자(b+c),1512737
202310,청담동,전체방문자(a+b+c),2732245
202310,삼성1동,현지인방문자(a),1425627
202310,삼성1동,외지인방문자(b),2051518
202310,삼성1동,외국인방문자(c),69512
202310,삼성1동,외부방문자(b+c),2121030
202310,삼성1동,전체방문자(a+b+c),3546657
202311,신사동,현지인방문자(a),945441
202311,신사동,외지인방문자(b),1547077
202311,신사동,외국인방문자(c),36235
202311,신사동,외부방문자(b+c),1583312
202311,신사동,전체방문자(a+b+c),2528753
202311,압구정동,현지인방문자(a),1261684
202311,압구정동,외지인방문자(b),1871912
202311,압구정동,외국인방문자(c),42671
202311,압구정동,외부방문자(b+c),1914583
202311,압구정동,전체방문자(a+b+c),3176267
202311,청담동,현지인방문자(a),1177936
202311,청담동,외지인방문자(b),1441503
202311,청담동,외국인방문자(c),25252
202311,청담동,외부방문자(b+c),1466755
202311,청담동,전체방문자(a+b+c),2644691
202311,삼성1동,현지인방문자(a),1461072
202311,삼성1동,외지인방문자(b),2240728
202311,삼성1동,외국인방문자(c),65450
202311,삼성1동,외부방문자(b+c),2306178
202311,삼성1동,전체방문자(a+b+c),3767250
202312,신사동,현지인방문자(a),937195
202312,신사동,외지인방문자(b),1667130
202312,신사동,외국인방문자(c),35771
202312,신사동,외부방문자(b+c),1702902
202312,신사동,전체방문자(a+b+c),2640097
202312,압구정동,현지인방문자(a),1263255
202312,압구정동,외지인방문자(b),2085968
202312,압구정동,외국인방문자(c),46657
202312,압구정동,외부방문자(b+c),2132626
202312,압구정동,전체방문자(a+b+c),3395881
202312,청담동,현지인방문자(a),1151913
202312,청담동,외지인방문자(b),1471631
202312,청담동,외국인방문자(c),24720
202312,청담동,외부방문자(b+c),1496351
202312,청담동,전체방문자(a+b+c),2648264
202312,삼성1동,현지인방문자(a),1451429
202312,삼성1동,외지인방문자(b),2331088
202312,삼성1동,외국인방문자(c),58743
202312,삼성1동,외부방문자(b+c),2389831
202312,삼성1동,전체방문자(a+b+c),3841260
202401,신사동,현지인방문자(a),952623
202401,신사동,외지인방문자(b),1555043
202401,신사동,외국인방문자(c),24725
202401,신사동,외부방문자(b+c),1579768
202401,신사동,전체방문자(a+b+c),2532391
202401,압구정동,현지인방문자(a),1255373
