관광지명(소재지역),대분류명,중분류명,10대 이하 남성 비율,10대 이하 여성 비율,20대 남성 비율,20대 여성 비율,30대 남성 비율,30대 여성 비율,40대 남성 비율,40대 여성 비율,50대 남성 비율,50대 여성 비율,60대 남성 비율,60대 여성 비율,70대 이상 남성 비율,70대 이상 여성 비율
K현대미술관,인문(문화/예술/역사),문화시설,1.4,2.1,11,21.1,13.9,15.6,8.6,8.3,6,4.4,2.7,2.2,1.4,1.3
SJ쿤스트할레,인문(문화/예술/역사),문화시설,1.8,1.6,7.4,12.8,14.3,12.6,12.9,7.1,9.4,5.5,4.9,4.2,2.3,3.3
강남마루공원,인문(문화/예술/역사),휴양관광지,8.6,2.1,7.4,7.5,11.2,8.5,8,7.1,9.1,7.6,7.2,7.9,4.3,3.4
경기여고경운박물관(서울),인문(문화/예술/역사),문화시설,5.9,7.9,5.3,6.1,6.9,8.4,7.9,9.9,7.7,9.7,7.2,8.6,3.9,4.7
능인선원,인문(문화/예술/역사),역사관광지,4.3,6.7,6.7,7.8,10.6,8.5,10,7.4,8.1,8.3,6.3,8.4,2.8,4.2
대모산공원,인문(문화/예술/역사),휴양관광지,8.8,6.1,3.4,4.9,3.6,5,7.5,12.2,7.6,11.4,7.6,10.6,6,5.4
대치유수지체육공원,인문(문화/예술/역사),휴양관광지,4.7,2.7,7.1,7.5,13,9.3,12.4,8.6,9.5,6.8,7,5.9,3.1,2.4
더스마티움,인문(문화/예술/역사),문화시설,3.6,5.4,5,7,15.2,18.1,11.1,9.8,5.9,5.8,5.7,4,1.8,1.5
도곡시장,쇼핑,쇼핑,5.8,5.7,4.9,5.6,4.9,6.7,10.3,16.4,9.2,12.9,3.4,7.4,2.4,4.5
도산공원,인문(문화/예술/역사),휴양관광지,1.7,2,8.9,17.7,13,15.7,9.1,8.6,5.8,5.7,3.2,3.9,1.9,2.7
법룡사,인문(문화/예술/역사),역사관광지,6.3,3.7,4.6,5.8,7.3,8.1,8.4,9.6,7.6,9.8,7.8,10.7,5.4,4.9
봉은사(서울),인문(문화/예술/역사),역사관광지,2.3,2.3,7.8,11.3,12.5,12.2,11.4,8.7,8.6,7.4,5.1,5.4,2.2,2.8
불교총지종,인문(문화/예술/역사),역사관광지,1.2,2.1,9.3,13.9,12.9,11.3,10.3,7.1,8.5,6.3,4.7,5.2,2.9,4.4
불국사,인문(문화/예술/역사),역사관광지,0.4,0.5,0.2,1.4,2,3,4.4,4.5,5.2,14.7,17.8,23.2,15.2,7.5
서울무역전시컨벤션센터(SETEC),인문(문화/예술/역사),문화시설,1,1.8,7.9,15.6,12.7,15.4,9.8,9.4,6.6,8.2,4.4,4.6,1.4,1.2
서울선릉(성종과정현왕후)과정릉(중종)(유네스코세계문화유산),인문(문화/예술/역사),역사관광지,1.1,1.2,9.3,11.8,15.5,11.5,12.1,7.1,8.6,5.7,5.4,4.9,2.8,2.9
서울옥션강남센터,인문(문화/예술/역사),문화시설,1.5,2.1,4.4,14,13.1,17.8,10.9,10.2,6.6,5.8,4.3,3.6,2.5,3.1
송은아트스페이스,인문(문화/예술/역사),문화시설,1,2.1,8,14.7,14.3,15.2,10,8.8,8.9,5.7,5,3.7,1.1,1.6
식물관PH,인문(문화/예술/역사),문화시설,5.3,3.2,4.3,6,7.2,8.9,8.8,9.7,8.1,10.6,8.7,11,4.1,4.2
신사공원,인문(문화/예술/역사),휴양관광지,9,10.7,6.5,6.9,7,6.4,7.6,11.5,8.8,7.2,4.7,5.5,2.3,5.9
신사시장,쇼핑,쇼핑,4.7,5.9,4.9,5.6,5.4,6.9,10,12.6,7.7,10.4,6.5,7.3,4.2,7.8
압구정로데오거리,인문(문화/예술/역사),체험관광지,1.6,2.2,11.3,19.9,13.7,15.5,8.4,7.6,5.2,5.2,2.9,3.3,1.5,1.9
역삼개나리공원,인문(문화/예술/역사),휴양관광지,0.5,0.7,11.4,14.7,18.8,13.9,12.7,6.2,8.5,3.6,3.7,2.7,1.4,1.3
유나이티드갤러리,인문(문화/예술/역사),문화시설,1.1,1.7,15,23.3,13.6,17.1,5.9,5.3,4.6,3.9,2.7,3.5,1.2,1
율현공원,인문(문화/예술/역사),휴양관광지,4.2,4.8,5.9,6.8,9.4,8.9,10.9,8.4,9,8.3,7.7,7.4,4.1,4.2
은곡마을공원,인문(문화/예술/역사),휴양관광지,2.1,1.9,3.8,6,12.5,17.6,10,11.8,8.5,8.4,3.7,5.3,4.2,4.2
일상비일상의틈,인문(문화/예술/역사),체험관광지,3.3,5.1,20.4,30.7,11.4,11.6,4.7,4,2.6,2.7,1.4,1.3,0.5,0.4
일원에코파크,인문(문화/예술/역사),휴양관광지,2.8,1.6,6.3,6.7,10.9,8.5,9.4,7,9.5,7.9,9.9,9.7,4.7,5.1
일원장미공원,인문(문화/예술/역사),휴양관광지,8.8,6.1,3.4,4.9,3.6,5,7.5,12.2,7.6,11.4,7.6,10.6,6,5.4
전주이씨광평대군파묘역,인문(문화/예술/역사),역사관광지,7.7,4.4,4.5,5.5,6.8,7.6,8.5,10.1,7.5,9.6,7.4,10.4,4.9,5
