관광지명(소재지역),대분류명,중분류명,10대 이하 남성 비율,10대 이하 여성 비율,20대 남성 비율,20대 여성 비율,30대 남성 비율,30대 여성 비율,40대 남성 비율,40대 여성 비율,50대 남성 비율,50대 여성 비율,60대 남성 비율,60대 여성 비율,70대 이상 남성 비율,70대 이상 여성 비율
광나루안전체험관,인문(문화/예술/역사),체험관광지,3.4,3.8,18.1,19.4,10,12.1,6.5,6,4.9,4.8,3.5,3.4,2.1,2.1
긴고랑공원,인문(문화/예술/역사),휴양관광지,2.1,1.8,7.4,7.4,7.8,7.1,6.4,6.2,9.2,11.4,9,11,5.6,7.6
노룬산골목시장,쇼핑,쇼핑,2.2,1.8,8.9,11.7,7.5,8.2,6.4,4.4,9.6,10.4,8.1,9,4.8,7.1
뚝섬자벌레서울생각마루,인문(문화/예술/역사),체험관광지,3.3,5,11.7,20.1,10.1,12.4,8.9,6.5,5.5,4.2,3.6,4.8,1.9,2
면곡시장,쇼핑,쇼핑,2.6,2.8,6.9,7.3,9.1,7.5,6.6,7.4,8.6,11.7,7.3,10.2,5.8,6.3
서울상상나라,인문(문화/예술/역사),문화시설,3.2,5.4,11.8,13.5,9.6,11,7.2,7.1,5.9,7.1,5,6.3,3.2,3.8
서울어린이대공원,인문(문화/예술/역사),휴양관광지,3.2,5.2,13.7,15.8,9.5,10.5,6.8,6.6,5.5,6.6,4.6,5.6,2.9,3.4
신성종합시장,쇼핑,쇼핑,3.3,2.8,8.1,7.9,8.8,8,5.5,6.3,8.6,10.8,8.1,10.4,4.2,7.1
아차산,자연,자연관광지,2.2,2.6,5.9,7.1,9,9.5,8.5,7.7,9.5,9.5,9.7,9.4,5.1,4.1
아차산배수지체육공원,인문(문화/예술/역사),휴양관광지,5.1,5.8,7.6,8,7.5,8,9.1,10.4,8.5,9.5,6.4,7.3,3.5,3.3
아차산생태공원,자연,자연관광지,2.4,3.6,3.5,4.4,4.4,6.2,7.6,7.5,9.4,10.2,11.9,12.8,10.1,5.9
아차산성,인문(문화/예술/역사),역사관광지,1.8,2,6.1,8.8,11.8,14.2,9.1,8.9,8.6,7.7,6.7,7.5,3.2,3.3
영화사(서울),인문(문화/예술/역사),역사관광지,4,6.7,5.7,6.8,7.6,8.3,10.1,10.7,6.1,7.9,6.8,9,5.4,4.7
자양동양꼬치거리(중국음식문화거리),인문(문화/예술/역사),체험관광지,1.5,2.3,13.8,19.5,10.8,9.8,6.9,5.4,7.1,7.3,5.5,5.3,1.7,3
중곡제일시장,쇼핑,쇼핑,2.1,2.9,7.1,7.6,8.8,9,6.8,6.6,8,11.6,6.9,12.2,4,6.6
키즈오토파크,인문(문화/예술/역사),체험관광지,2.5,2.8,13.7,16.4,11.7,14.9,7.2,6.9,5.4,5.5,3.7,4.2,2.6,2.6
한강시민공원뚝섬지구(뚝섬한강공원),인문(문화/예술/역사),휴양관광지,3.4,3.4,9.3,11.4,10.2,9.5,8.3,7.3,8.2,7.4,6.9,7.2,3.6,3.8
