기준년월,행정동명,방문자 구분,방문자 수
202305,상암동,전체방문자(a+b+c),2352946.0
202305,성산2동,전체방문자(a+b+c),1545259.0
202305,성산1동,전체방문자(a+b+c),762022.0
202306,상암동,전체방문자(a+b+c),2446003.0
202306,성산2동,전체방문자(a+b+c),1489372.0
202306,성산1동,전체방문자(a+b+c),769127.0
202307,상암동,전체방문자(a+b+c),2341720.0
202307,성산2동,전체방문자(a+b+c),1535991.0
202307,성산1동,전체방문자(a+b+c),750012.0
202308,상암동,전체방문자(a+b+c),2257860.0
202308,성산2동,전체방문자(a+b+c),1399920.0
202308,성산1동,전체방문자(a+b+c),732252.0
202309,상암동,전체방문자(a+b+c),2407950.0
202309,성산2동,전체방문자(a+b+c),1440731.0
202309,성산1동,전체방문자(a+b+c),758420.0
202310,상암동,전체방문자(a+b+c),2754355.0
202310,성산2동,전체방문자(a+b+c),1806909.0
202310,성산1동,전체방문자(a+b+c),773799.0
202311,상암동,전체방문자(a+b+c),2261366.0
202311,성산2동,전체방문자(a+b+c),1461112.0
202311,성산1동,전체방문자(a+b+c),785633.0
202312,상암동,전체방문자(a+b+c),1997215.0
202312,성산2동,전체방문자(a+b+c),1312525.0
202312,성산1동,전체방문자(a+b+c),759758.0
202401,상암동,전체방문자(a+b+c),2144881.0
202401,성산2동,전체방문자(a+b+c),1227039.0
202401,성산1동,전체방문자(a+b+c),732887.0
202402,상암동,전체방문자(a+b+c),1848008.0
202402,성산2동,전체방문자(a+b+c),1218451.0
202402,성산1동,전체방문자(a+b+c),682819.0
202403,상암동,전체방문자(a+b+c),2240725.0
202403,성산2동,전체방문자(a+b+c),1543857.0
202403,성산1동,전체방문자(a+b+c),822185.0
202404,상암동,전체방문자(a+b+c),2273502.0
202404,성산2동,전체방문자(a+b+c),1435499.0
202404,성산1동,전체방문자(a+b+c),704186.0
