기준년월,행정동명,방문자 구분,방문자 수
202305,망원1동,전체방문자(a+b+c),1029928.0
202305,망원2동,전체방문자(a+b+c),956351.0
202305,합정동,전체방문자(a+b+c),1441168.0
202306,망원1동,전체방문자(a+b+c),978124.0
202306,망원2동,전체방문자(a+b+c),890508.0
202306,합정동,전체방문자(a+b+c),1453809.0
202307,망원1동,전체방문자(a+b+c),1039884.0
202307,망원2동,전체방문자(a+b+c),815417.0
202307,합정동,전체방문자(a+b+c),1462132.0
202308,망원1동,전체방문자(a+b+c),995106.0
202308,망원2동,전체방문자(a+b+c),793907.0
202308,합정동,전체방문자(a+b+c),1388766.0
202309,망원1동,전체방문자(a+b+c),1063265.0
202309,망원2동,전체방문자(a+b+c),865911.0
202309,합정동,전체방문자(a+b+c),1386460.0
202310,망원1동,전체방문자(a+b+c),1186319.0
202310,망원2동,전체방문자(a+b+c),906573.0
202310,합정동,전체방문자(a+b+c),1425512.0
202311,망원1동,전체방문자(a+b+c),971728.0
202311,망원2동,전체방문자(a+b+c),710744.0
202311,합정동,전체방문자(a+b+c),1312953.0
202312,망원1동,전체방문자(a+b+c),1098053.0
202312,망원2동,전체방문자(a+b+c),664378.0
202312,합정동,전체방문자(a+b+c),1367993.0
202401,망원1동,전체방문자(a+b+c),1069483.0
202401,망원2동,전체방문자(a+b+c),662107.0
202401,합정동,전체방문자(a+b+c),1313565.0
202402,망원1동,전체방문자(a+b+c),1021655.0
202402,망원2동,전체방문자(a+b+c),660749.0
202402,합정동,전체방문자(a+b+c),1209289.0
202403,망원1동,전체방문자(a+b+c),1224875.0
202403,망원2동,전체방문자(a+b+c),804975.0
202403,합정동,전체방문자(a+b+c),1438152.0
202404,망원1동,전체방문자(a+b+c),1200638.0
202404,망원2동,전체방문자(a+b+c),901528.0
202404,합정동,전체방문자(a+b+c),1406098.0
