title,link,source,date
"""고요한 순간 잊지 못해"" 1000명이 즐긴 '쉬엄쉬엄한강요가'",https://www.newsis.com/view/?id=NISX20240603_0002758602&cID=10701&pID=10700,뉴시스언론사 선정,2024-06-04
"오세훈,한강서 헤엄치고 따릉이로 달려…3개 종목 완주",https://www.sedaily.com/NewsView/2DAANHM289,서울경제,2024-06-02
"한강1km 종단한 오세훈 시장…""수질 깨끗하니 안심""",https://www.hankyung.com/article/202406029674i,한국경제언론사 선정,2024-06-03
"한강을 FUN하게 즐기는 법...수상레포츠부터 캠핑, 축제까지",https://www.etoday.co.kr/news/view/2367303,이투데이,2024-06-05
"오세훈, '쉬엄쉬엄한강축제' 앞두고 수질·안전 대책 점검",https://www.news1.kr/articles/5431485,뉴스1,2024-05-30
한강1㎞ 수영해 건넌 오세훈 “물이 믿기지 않을 정도로 깨끗”,https://biz.chosun.com/topics/topics_social/2024/06/03/MUCFXLCEPBCRFK55PWVBZKO7EI/?utm_source=naver&utm_medium=original&utm_campaign=biz,조선비즈언론사 선정,2024-06-04
"블랙야크, '제1회 쉬엄쉬엄한강3종 축제' 후원& 부스운영",http://www.kdfnews.com/news/articleView.html?idxno=133606,한국면세뉴스,2024-06-05
2024 제1회 쉬엄쉬엄한강3종 축제 개최,https://www.sisamagazine.co.kr/news/articleView.html?idxno=504890,시사매거진,2024-06-04
뚝섬에 꽃길·녹지…'오세훈표 정원' 250만명 몰렸다,https://www.hankyung.com/article/2024060298931,한국경제언론사 선정,2024-06-06
"[동정] 오세훈, 쉬엄쉬엄한강3종 축제 참가",https://www.yna.co.kr/view/AKR20240601030200004?input=1195m,연합뉴스,2024-06-02
'쉬엄쉬엄한강3종 축제' 이틀간 열려…스포츠 ESG 캠페인도 실천,http://www.stoo.com/article.php?aid=93934950203,스포츠투데이,2024-06-05
"서울관광재단, '쉬엄쉬엄한강요가'행사성료",https://www.newscj.com/news/articleView.html?idxno=3146051,천지일보,2024-06-04
뚝섬한강공원에서 쉬엄쉬엄한강3종 축제행사준비 상황 점검하는 오세훈 시...,https://www.news1.kr/photos/view/?6677412,뉴스1,2024-05-30
기록 상관없이 '쉬엄쉬엄'...한강3종 축제 첫 개최,https://www.ytn.co.kr/_ln/0103_202406011205172979,YTN,2024-06-02
나만의 방식으로한강완주…6월1~2일 '쉬엄쉬엄한강3종 축제',https://www.news1.kr/articles/5430265,뉴스1,2024-05-30
"[게시판] 서울시, 내달 1∼2일뚝섬한강공원서 금연캠페인",https://www.yna.co.kr/view/AKR20240528033400004?input=1195m,연합뉴스,2024-06-06
"""느려도 괜찮아""한강서 쉬엄쉬엄 3종 경기",https://www.mk.co.kr/article/11029200,매일경제,2024-06-06
"""뚝섬한강공원서 숏폼 촬영해주세요""…상금 500만원",https://www.news1.kr/articles/5424412,뉴스1,2024-06-06
2024 제1회 쉬엄쉬엄한강3종 축제 개최,https://www.sisamagazine.co.kr/news/articleView.html?idxno=504890,시사매거진,2024-06-04
"[르포]""버킷리스트인한강횡단 이뤘죠""...경기 아닌 축제, '쉬엄쉬엄한강3...",https://www.ajunews.com/view/20240602105650485,아주경제,2024-06-03
‘쉬엄쉬엄’한강에서 운동을 즐겨요[정동길 옆 사진관],https://www.khan.co.kr/national/national-general/article/202406021634001,경향신문,2024-06-03
"건물 사이에 피어난 장미, 도심 정원 ‘활짝’…뚝섬박람회, 닷새 만에 100만...",https://www.khan.co.kr/local/Seoul/article/202405212102035,경향신문,2024-06-06
"뚝섬 한강공원, 20만㎡ 정원 됐다…맨발 황톳길까지(종합)",https://www.news1.kr/articles/5417394,뉴스1,2024-06-06
"NH농협손보,뚝섬한강공원에 ‘헤아림정원’ 조성",https://www.etoday.co.kr/news/view/2360775,이투데이,2024-06-06
에버랜드가 만든 '명품 정원'…뚝섬 한강공원서 즐긴다,https://www.sedaily.com/NewsView/2D982KY2O7,서울경제언론사 선정,2024-06-06
"크라운해태, '견생조각전' 100회 맞아한강에서 특별전 개최",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00014&news_seq_no=5027031,MBN,2024-06-06
"사회보장정보원, 환경의날 맞아한강공원에서 줍깅 봉사",http://www.bosa.co.kr/news/articleView.html?idxno=2223964,의학신문,2024-06-01
강에서 즐기는 여름… 내달한강3종축제 열린다,https://www.joongang.co.kr/article/25252076,중앙일보,2024-06-06
"뚝섬한강공원드론라이트쇼 6월 1일 오후 8시...광진구, 드론쇼 대비 합동 안...",https://view.asiae.co.kr/article/2024052908020559013,아시아경제,2024-05-30
쉬어가는 도시 서울…'쉬엄쉬엄한강3종 축제'·'K-비어 페스티벌' 外 [주말...,https://www.etoday.co.kr/news/view/2365763,이투데이,2024-06-02
[뉴스1 PICK]‘6만평’뚝섬한강공원이 시민 정원으로 ‘변신’…우울감 20% ...,https://www.news1.kr/articles/5421099,뉴스1,2024-06-06
"서울시, 아이와 함께하는 '공원프로그램' 풍성",http://news.tf.co.kr/read/life/2101043.htm,더팩트,2024-06-06
"오세훈, 23일 오후 5시뚝섬한강공원서 ‘정원도시’ 토크콘서트",https://news.heraldcorp.com/view.php?ud=20240523050554,헤럴드경제,2024-06-06
서울뚝섬한강공원서 3종 경기 개최…완주 시 메달 수여,https://www.digitaltoday.co.kr/news/articleView.html?idxno=519677,디지털투데이,2024-06-01
"동양생명,뚝섬한강공원에 '수호천사의 정원' 조성",https://www.newsis.com/view/?id=NISX20240516_0002736789&cID=15001&pID=15000,뉴시스,2024-06-06
"요가 즐기며 풀멍, 카약·패들보드 강습, 체험존·드론쇼…한강콘텐츠 다 모...",https://www.seoul.co.kr/news/publicnews/local_govern/enjoy_local/2024/05/30/20240530012002?wlog_tag3=naver,서울신문,2024-06-06
정원으로 변신한뚝섬한강공원,https://www.news1.kr/photos/view/?6652456,뉴스1,2024-06-06
정원 매력에 '흠뻑'…10월까지뚝섬에서,http://news.lghellovision.net/news/articleView.html?idxno=467881,LG헬로비전,2024-06-06
"광진구,뚝섬한강공원드론라이트쇼 ""시민 안전이 최우선""",https://www.gukjenews.com/news/articleView.html?idxno=3005463,국제뉴스,2024-06-06
도심에서 맛본 '힐링'...오세훈 “슬리퍼 신고 즐길 수 있는 정원 만들겠다”,https://www.etoday.co.kr/news/view/2363589,이투데이,2024-06-06
"한강에서 주말 보낸 오세훈… ""한강에 들어서는 시설에 더 많은 콘텐츠 담을 ...",http://www.public25.com/news/articleView.html?idxno=15785,공생공사닷컴,2024-06-03
"HDC현대산업개발,뚝섬한강공원에 '아이파크 가든' 선보여",https://view.asiae.co.kr/article/2024051715595780623,아시아경제,2024-06-06
‘명품 정원’마다 초록물결·꽃대궐… 나만의 인생샷 찰칵! [심층기획],http://www.segye.com/newsView/20240522519808?OutUrl=naver,세계일보,2024-06-06
'로맨틱한강크리스마스 마켓' 추경예산 적절성 논란,https://news.bbsi.co.kr/news/articleView.html?idxno=3157405,BBS NEWS,2024-05-30
"AIA생명, '서울국제정원박람회' 참여…'정신적 건강' 위한 정원 선봬",https://biz.newdaily.co.kr/site/data/html/2024/05/20/2024052000302.html,뉴데일리,2024-06-06
뚝섬한강공원이 '시민정원'으로…10월까지 '서울국제정원박람회' 개최,https://news.tvchosun.com/site/data/html_dir/2024/05/20/2024052090033.html,TV조선,2024-06-06
[발자국] '정원 도시'로 한 걸음 더 나아간뚝섬 한강공원···'당신의 삶 속...,http://www.todaykorea.co.kr/news/articleView.html?idxno=317915,투데이코리아,2024-06-06
[되살아난 서울] (160) 정원으로 로또 맞은 광진구 '뚝섬한강공원',http://www.metroseoul.co.kr/article/20240521500395,메트로신문,2024-06-06
"뚝섬한강공원, ‘시민정원’으로 재탄생",https://www.donga.com/news/Society/article/all/20240516/124970673/1,동아일보,2024-06-06
한강따라 봄꽃 활짝…10월까지 국제정원박람회,http://www.mbn.co.kr/pages/news/newsView.php?news_seq_no=5028449,MBN,2024-06-06
"'정원도시 서울' 오세요...뚝섬 한강공원, 6만 평 정원으로 변신",https://www.ytn.co.kr/_ln/0115_202405172318155599,YTN,2024-06-06
한강에 조성된 디즈니 정원,https://www.news1.kr/photos/view/?6652446,뉴스1,2024-06-06
‘한강리버시티’ 꿈꾸는 오세훈 시장…꽁냥이 챌린지로 SNS서 반전 매력 [박...,https://magazine.hankyung.com/business/article/202405289283b,한경비즈니스,2024-06-03
"뚝섬한강공원, '시민의 정원으로' [뉴스핌 줌인]",https://www.newspim.com/news/view/20240516001228,뉴스핌,2024-06-06
한강과 정원,https://www.yna.co.kr/view/PYH20240516112800013?input=1196m,연합뉴스,2024-06-06
"""납북자들의 새벽별 되길""…한강공원에 피어난 '세송이물망초'",https://www.yna.co.kr/view/AKR20240516163000504?input=1195m,연합뉴스,2024-06-06
[현장]한강공원에 핀 '세송이의 물망초'…납북자·억류자·국군포로를 아시나...,https://www.dailian.co.kr/news/view/1361978/?sc=Naver,데일리안언론사 선정,2024-06-06
한강감상하며 단체요가…내달 1∼2일 '쉬엄쉬엄한강요가',https://www.yna.co.kr/view/AKR20240513068700004?input=1195m,연합뉴스,2024-06-06
매력도시 '서울'…한강공원에 펼쳐진 '국제정원박람회' (B tv 서울뉴스),http://ch1.skbroadband.com/content/view?parent_no=24&content_no=57&p_no=169985,SK브로드밴드,2024-06-06
"이상한 나라의 앨리스, 무소음 DJ파티…'한강페스티벌 봄' 개막",https://www.yna.co.kr/view/AKR20240511023800004?input=1195m,연합뉴스,2024-06-06
모험 가득한 이색 동화 나라...'한강별빛소극장' [포토],http://news.tf.co.kr/read/photomovie/2099245.htm,더팩트,2024-06-06
"KB증권,뚝섬한강공원에 기업동행정원 ‘깨비정원’ 공개",http://www.segyebiz.com/newsView/20240517505272?OutUrl=naver,세계비즈,2024-06-06
"삼성물산 리조트,뚝섬한강공원친환경 정원 조성",http://www.g-enews.com/ko-kr/news/article/news_all/202405170844232911a96f092d0c_1/article.html,글로벌이코노믹,2024-06-06
"'쉬엄쉬엄한강3종 축제',뚝섬한강공원서 개최",http://www.enewstoday.co.kr/news/articleView.html?idxno=2127179,이뉴스투데이,2024-06-06
[TRAVEL] 익숙한 듯 낯선...눈부신 봄날의한강피크닉,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00007&news_seq_no=5027624,MBN,2024-06-06
"서울시, 어린이 가족 위한공원프로그램 풍성.. 주말에공원갈까?",https://www.discoverynews.kr/news/articleView.html?idxno=1044373,디스커버리뉴스,2024-06-06
페스티벌·성수동·한강공원까지 '종횡무진'...밸류업 실시 앞두고 접점 늘리...,https://daily.hankooki.com/news/articleView.html?idxno=1085998,데일리한국,2024-06-06
"""철인3종? 쉬엄쉬엄3종!""…한강에서 열리는 여유로운 여름축제",https://www.dailian.co.kr/news/view/1358228/?sc=Naver,데일리안언론사 선정,2024-06-06
"서울시, 11일 '한강드론 라이트 쇼' 우천으로 취소",https://www.newspim.com/news/view/20240510000518,뉴스핌,2024-06-06
"에버랜드,뚝섬한강공원에 친환경 정원 ‘에버스케이프; 영원한 풍경(Eversca...",https://www.sportsseoul.com/news/read/1430528?ref=naver,스포츠서울,2024-06-06
"'얘들아,한강공원에서 씨름하자' 서울 유치원·초등학교 모집",https://www.nocutnews.co.kr/news/6141308?utm_source=naver&utm_medium=article&utm_campaign=20240508072156,노컷뉴스,2024-06-06
"삼성물산 리조트,뚝섬한강공원친환경 정원 조성",http://www.thepowernews.co.kr/news/articleView.html?idxno=137040,더파워,2024-06-06
"납북·억류자 상징 '세송이물망초' 정원,한강에 설치",https://www.newsis.com/view/?id=NISX20240509_0002728855&cID=10301&pID=10300,뉴시스,2024-06-06
"동양생명,뚝섬한강공원에 '수호천사의 정원' 조성",http://www.iminju.net/news/articleView.html?idxno=101588,민주신문,2024-06-06
"""한강을 사계절 매력 정원으로!""...서울국제정원박람회 개막[여행관광]",https://www.econovill.com/news/articleView.html?idxno=653669,이코노믹리뷰,2024-06-06
크라운해태제과 '견생조각전' 100회…서울뚝섬 한강공원특별 전시 진행,https://sports.chosun.com/life/2024-05-20/202405200100130540018566,스포츠조선,2024-06-06
"크라운해태,한강서 '견생조각전' 100회 특별전 개최",https://www.apnews.kr/news/articleView.html?idxno=3019414,AP신문,2024-06-06
"동양생명, 창립 35주년 맞아뚝섬 한강공원에서 나무 식재행사전개",https://www.psnews.co.kr/news/articleView.html?idxno=2053127,퍼블릭뉴스,2024-04-23
"김경호 광진구청장,뚝섬한강공원주변 긴급점검",http://www.shinailbo.co.kr/news/articleView.html?idxno=1868024,신아일보,2024-05-02
"서울시체육회, '운동도 축제도 쉬엄쉬엄 신나게'한강축제 개최",http://www.g-enews.com/ko-kr/news/article/news_all/202405131344213150f83bf132e7_1/article.html,글로벌이코노믹,2024-06-06
"""이번 주말,한강DJ파티 어때?!""…'2024한강페스티벌_봄' 개막",http://www.dailypop.kr/news/articleView.html?idxno=77909,데일리팝,2024-06-06
"크라운해태, '견생조각전' 100회 맞아한강에서 특별전 개최",http://www.asiaa.co.kr/news/articleView.html?idxno=171637,아시아에이,2024-06-06
"""기록보다 즐거움""…서울시 '쉬엄쉬엄 3종 축제' 성공 비결은",http://www.edaily.co.kr/news/newspath.asp?newsid=02778166638918112,이데일리,2024-06-04
'2024서울국제정원박람회' 개막 보름전...김경호 광진구청장한강일대 점검,https://view.asiae.co.kr/article/2024050121354140704,아시아경제,2024-05-01
[Who Is ?] 이문구 동양생명 대표이사,https://www.businesspost.co.kr/BP?command=article_view&num=354373,비즈니스포스트,2024-06-05
"서울관광재단,한강뷰 보며 250명 함께 단체요가 '쉬엄쉬업한강요가' 참가자...",http://www.bizwnews.com/news/articleView.html?idxno=82489,비즈월드,2024-06-06
“서울을 하나의 큰 정원으로”… 오세훈이 꿈꾸는 정원도시는 [심층기획],http://www.segye.com/newsView/20240603519473?OutUrl=naver,세계일보언론사 선정,2024-06-06
"[Daily New유통] 디스커버리, 에이피알, SPC 外",https://biz.newdaily.co.kr/site/data/html/2024/06/05/2024060500027.html,뉴데일리,2024-06-05
유럽풍 크리스마스 느끼고 싶다면 가족과 함께한강으로 [뉴시스Pic],http://www.newsis.com/view/?id=NISX20231222_0002569073&cID=10201&pID=10200,뉴시스,2023-12-22
"KB증권, 지체장애인 초청 '약자와의 동행' 겨울행사",http://www.newspim.com/news/view/20231228000818,뉴스핌,2023-12-28
"서울시,뚝섬한강공원서 '제1회 쉬엄쉬엄한강3종 축제' 개최",https://www.thepublic.kr/news/articleView.html?idxno=223021,더퍼블릭,2024-05-03
나만의 페이스로 달리고 수영·자전거…'쉬엄쉬엄한강3종경기',https://www.yna.co.kr/view/AKR20240502045600004?input=1195m,연합뉴스,2024-05-02
"""뚝섬한강공원이 서울시민의 정원으로 변신합니다""[서울을 움직이는 사람들]",http://www.fnnews.com/news/202405051836519113,파이낸셜뉴스,2024-06-06
‘뚝트럴파크’ 18일 만에 261만명 즐겼다,https://www.seoul.co.kr/news/peoples/2024/06/04/20240604020005?wlog_tag3=naver,서울신문,2024-06-06
[서울] 토요일뚝섬한강공원서 독서를...서울시 '책 읽는한강공원',https://www.ytn.co.kr/_ln/0115_202306091024360251,YTN,2023-06-09
"서산시,뚝섬한강공원서 지역 관광지 홍보 추진",https://www.jeonmae.co.kr/news/articleView.html?idxno=1032022,전국매일신문,2024-04-22
2024서울국제정원박람회...5/16(목)뚝섬한강공원에서 개막,https://news.bbsi.co.kr/news/articleView.html?idxno=3153454,BBS NEWS,2024-04-23
제29회 광진구민의 날 기념행사풍성,https://view.asiae.co.kr/article/2024052023125456765,아시아경제,2024-06-06
"한강에서 주말 보낸 오세훈… ""한강에 들어서는 시설에 더 많은 콘텐츠 담을 ...",http://www.public25.com/news/articleView.html?idxno=15785,공생공사닷컴,2024-06-03
"서울시, 어린이 가족 위한공원프로그램 풍성",https://www.newspim.com/news/view/20240524000111,뉴스핌,2024-06-06
20만㎡뚝섬 한강공원이 정원으로…10월까지 '국제정원 박람회',https://www.news1.kr/articles/5416755,뉴스1,2024-06-06
“뚝섬한강공원이 시민의 정원으로”… 서울국제정원박람회 개최,https://www.kmib.co.kr/article/view.asp?arcid=1715849268&code=11131400&cp=nv,국민일보,2024-06-06
"HDC현대산업개발,뚝섬한강공원에 '아이파크 가든' 선보여",https://view.asiae.co.kr/article/2024051715595780623,아시아경제,2024-06-06
"크라운해태, '견생조각전' 100회 맞아한강서 특별전",https://www.news1.kr/articles/5418294,뉴스1,2024-06-06
‘명품 정원’마다 초록물결·꽃대궐… 나만의 인생샷 찰칵! [심층기획],http://www.segye.com/newsView/20240522519808?OutUrl=naver,세계일보,2024-06-06
6만평뚝섬한강공원에 '시민 정원'… '2024 서울국제정원박람회',https://www.news1.kr/photos/view/?6652482,뉴스1,2024-06-06
"삼성물산 리조트,뚝섬한강공원에 ‘친환경 정원’",https://news.heraldcorp.com/view.php?ud=20240517050369,헤럴드경제,2024-06-06
"한국사회보장정보원, 환경의날 맞아한강공원에서 줍깅 봉사",https://www.ekn.kr/web/view.php?key=20240531028338218,에너지경제,2024-06-01
[뉴스 한줌] 봄내음 꽃내음 가득…뚝섬한강공원이 정원으로?,https://www.hankyung.com/article/202405163010i,한국경제,2024-06-06
"삼성물산 리조트,뚝섬한강공원에 ‘친환경 정원’",https://news.heraldcorp.com/view.php?ud=20240517050369,헤럴드경제,2024-06-06
"한국사회보장정보원, 환경의날 맞아한강공원에서 줍깅 봉사",https://www.ekn.kr/web/view.php?key=20240531028338218,에너지경제,2024-06-01
'로맨틱한강크리스마스 마켓' 추경예산 적절성 논란,https://news.bbsi.co.kr/news/articleView.html?idxno=3157405,BBS NEWS,2024-05-30
아이와 함께 서울공원으로 … 주말마다 즐기는 가족 프로그램 봇물,https://www.newdaily.co.kr/site/data/html/2024/05/24/2024052400151.html,뉴데일리,2024-06-06
"AIA생명, '서울국제정원박람회' 참여…'정신적 건강' 위한 정원 선봬",https://biz.newdaily.co.kr/site/data/html/2024/05/20/2024052000302.html,뉴데일리,2024-06-06
"크라운해태, '견생조각전' 100회 맞이한강공원특별전",https://view.asiae.co.kr/article/2024051709532550767,아시아경제,2024-06-06
뚝섬한강공원이 '시민정원'으로…10월까지 '서울국제정원박람회' 개최,https://news.tvchosun.com/site/data/html_dir/2024/05/20/2024052090033.html,TV조선,2024-06-06
"동양생명,뚝섬한강공원에 어린이들을 위한 ‘수호천사의 정원’ 조성",http://www.fnnews.com/news/202405161025582135,파이낸셜뉴스,2024-06-06
"광진구,뚝섬한강공원드론라이트쇼 대비 합동 안전 점검",http://www.shinailbo.co.kr/news/articleView.html?idxno=1880514,신아일보,2024-05-30
뚝섬한강공원서 역대 최대 규모 정원박람회,https://www.ichannela.com/news/main/news_detailPage.do?publishId=000000410112,채널A,2024-06-06
"삼성물산,뚝섬한강공원에 700평 규모 친환경 정원 조성",https://zdnet.co.kr/view/?no=20240517091652,지디넷코리아,2024-06-06
아이와 함께 서울공원으로 … 주말마다 즐기는 가족 프로그램 봇물,https://www.newdaily.co.kr/site/data/html/2024/05/24/2024052400151.html,뉴데일리,2024-06-06
"AIA생명, '서울국제정원박람회' 참여…'정신적 건강' 위한 정원 선봬",https://biz.newdaily.co.kr/site/data/html/2024/05/20/2024052000302.html,뉴데일리,2024-06-06
"크라운해태, '견생조각전' 100회 맞이한강공원특별전",https://view.asiae.co.kr/article/2024051709532550767,아시아경제,2024-06-06
뚝섬한강공원이 '시민정원'으로…10월까지 '서울국제정원박람회' 개최,https://news.tvchosun.com/site/data/html_dir/2024/05/20/2024052090033.html,TV조선,2024-06-06
"동양생명,뚝섬한강공원에 어린이들을 위한 ‘수호천사의 정원’ 조성",http://www.fnnews.com/news/202405161025582135,파이낸셜뉴스,2024-06-06
"한국사회보장정보원, 환경의날 맞아한강공원에서 줍깅 봉사 ""한강지킴이 환경...",https://www.foodneconomy.com/news/articleView.html?idxno=359318,푸드경제신문 organiclife,2024-06-01
"광진구,뚝섬한강공원드론라이트쇼 대비 합동 안전 점검",http://www.shinailbo.co.kr/news/articleView.html?idxno=1880514,신아일보,2024-05-30
[발자국] '정원 도시'로 한 걸음 더 나아간뚝섬 한강공원···'당신의 삶 속...,http://www.todaykorea.co.kr/news/articleView.html?idxno=317915,투데이코리아,2024-06-06
"광진구,뚝섬한강공원드론라이트쇼 대비 합동 안전 점검",http://www.shinailbo.co.kr/news/articleView.html?idxno=1880514,신아일보,2024-05-30
"동양생명, 어린이 위한뚝섬한강공원'수호천사의 정원' 조성",https://daily.hankooki.com/news/articleView.html?idxno=1084978,데일리한국,2024-06-06
"크라운해태, ‘견생조각전’ 100회 맞아한강서 특별전",https://www.munhwa.com/news/view.html?no=2024051701039907205002,문화일보,2024-06-06
[발자국] '정원 도시'로 한 걸음 더 나아간뚝섬 한강공원···'당신의 삶 속...,http://www.todaykorea.co.kr/news/articleView.html?idxno=317915,투데이코리아,2024-06-06
뚝섬한강공원이 시민 정원으로..10월까지 '서울국제정원박람회' 즐긴다,http://news.mt.co.kr/mtview.php?no=2024051523091148527,머니투데이,2024-06-06
"서울뚝섬에 상륙한 에버랜드 가든, 친환경 정원 조성",https://news.heraldcorp.com/view.php?ud=20240517050679,헤럴드경제,2024-06-06
"'주말에공원갈까?' 서울시, 어린이 가족 위한공원프로그램 풍성",http://www.enewstoday.co.kr/news/articleView.html?idxno=2131863,이뉴스투데이,2024-06-06
"""24h IN뚝섬"", 숏폼 콘텐츠 챌린지 개최",http://www.bzeronews.com/news/articleView.html?idxno=661688,불교공뉴스,2024-06-06
[되살아난 서울] (160) 정원으로 로또 맞은 광진구 '뚝섬한강공원',http://www.metroseoul.co.kr/article/20240521500395,메트로신문,2024-06-06
봄부터 가을까지 '뚝섬한강공원'에서 '정원'을 즐겨보자,http://tbs.seoul.kr/news/newsView.do?typ_800=7&idx_800=3521625&seq_800=20514426,TBS,2024-06-06
[되살아난 서울] (160) 정원으로 로또 맞은 광진구 '뚝섬한강공원',http://www.metroseoul.co.kr/article/20240521500395,메트로신문,2024-06-06
[서울]뚝섬한강공원이 정원으로...서울국제정원박람회 개최,https://www.ytn.co.kr/_ln/0115_202405161400299645,YTN,2024-06-06
서울국제정원박람회 개최…6만평뚝섬한강공원이 시민 정원으로,https://www.etnews.com/20240516000268,전자신문,2024-06-06
"'주말에공원갈까?' 서울시, 어린이 가족 위한공원프로그램 풍성",http://www.bzeronews.com/news/articleView.html?idxno=661903,불교공뉴스,2024-06-06
봄부터 가을까지 '뚝섬한강공원'에서 '정원'을 즐겨보자,http://tbs.seoul.kr/news/newsView.do?typ_800=7&idx_800=3521625&seq_800=20514426,TBS,2024-06-06
"삼성물산, 에버랜드 헤리티지 담은 '친환경 정원'뚝섬한강공원에 선봬",https://www.dailian.co.kr/news/view/1362010/?sc=Naver,데일리안,2024-06-06
"뚝섬한강공원매력을 소개하는 '24h IN뚝섬', 숏폼 콘텐츠 챌린지 개최",https://www.viva100.com/main/view.php?key=20240523010007092,브릿지경제,2024-06-06
"뚝섬한강공원, ‘시민정원’으로 재탄생",https://www.donga.com/news/Society/article/all/20240516/124970673/1,동아일보,2024-06-06
"한강이 아름다워진다, 이번 주 '한강' 나들이 놓치면 안되는 이유",https://www.ytn.co.kr/_ln/0103_202405201630199957,YTN,2024-06-06
한강따라 봄꽃 활짝…10월까지 국제정원박람회,http://www.mbn.co.kr/pages/news/newsView.php?news_seq_no=5028449,MBN,2024-06-06
"동양생명,한강공원에 어린이 위한 ‘수호천사의 정원’ 조성",https://www.etoday.co.kr/news/view/2360349,이투데이,2024-06-06
에버랜드 '명품 정원'한강뚝섬에서 만난다,http://news.mt.co.kr/mtview.php?no=2024051711201556576,머니투데이,2024-06-06
"뚝섬한강공원, ‘시민정원’으로 재탄생",https://www.donga.com/news/Society/article/all/20240516/124970673/1,동아일보,2024-06-06
6만평뚝섬한강공원정원으로 ‘탈바꿈’…10월까지 ‘서울국제정원박람회’ ...,https://www.etoday.co.kr/news/view/2360224,이투데이,2024-06-06
"한강이 아름다워진다, 이번 주 '한강' 나들이 놓치면 안되는 이유",https://www.ytn.co.kr/_ln/0103_202405201630199957,YTN,2024-06-06
한강따라 봄꽃 활짝…10월까지 국제정원박람회,http://www.mbn.co.kr/pages/news/newsView.php?news_seq_no=5028449,MBN,2024-06-06
"'정원도시 서울' 오세요...뚝섬 한강공원, 6만 평 정원으로 변신",https://www.ytn.co.kr/_ln/0115_202405172318155599,YTN,2024-06-06
한강에 조성된 디즈니 정원,https://www.news1.kr/photos/view/?6652446,뉴스1,2024-06-06
‘한강리버시티’ 꿈꾸는 오세훈 시장…꽁냥이 챌린지로 SNS서 반전 매력 [박...,https://magazine.hankyung.com/business/article/202405289283b,한경비즈니스,2024-06-03
"뚝섬한강공원, '시민의 정원으로' [뉴스핌 줌인]",https://www.newspim.com/news/view/20240516001228,뉴스핌,2024-06-06
"'정원도시 서울' 오세요...뚝섬 한강공원, 6만 평 정원으로 변신",https://www.ytn.co.kr/_ln/0115_202405172318155599,YTN,2024-06-06
한강에 조성된 디즈니 정원,https://www.news1.kr/photos/view/?6652446,뉴스1,2024-06-06
‘한강리버시티’ 꿈꾸는 오세훈 시장…꽁냥이 챌린지로 SNS서 반전 매력 [박...,https://magazine.hankyung.com/business/article/202405289283b,한경비즈니스,2024-06-03
서울뚝섬한강공원에 선보인 ‘에버랜드 친환경 정원’,http://www.lak.co.kr/news/boardview.php?id=17578,환경과조경,2024-06-06
"뚝섬한강공원, '시민의 정원으로' [뉴스핌 줌인]",https://www.newspim.com/news/view/20240516001228,뉴스핌,2024-06-06
한강과 정원,https://www.yna.co.kr/view/PYH20240516112800013?input=1196m,연합뉴스,2024-06-06
[서울 가볼만한 곳]뚝섬한강공원서 '2024 서울국제정원박람회' 열려,https://www.lecturernews.com/news/articleView.html?idxno=153065,한국강사신문,2024-06-06
"동양생명,뚝섬한강공원에 어린이 정원 조성",http://www.insnews.co.kr/design_php/news_view.php?num=78955&firstsec=1&secondsec=12,한국보험신문,2024-06-06
뚝섬한강공원‘정원’ 으로 변신,https://www.skyedaily.com/news/news_view.html?ID=232160,스카이데일리,2024-06-06
