기준년월,지자체,방문자 구분,방문자수
202306,망원1동,현지인방문자(a),572642.0
202306,망원1동,외지인방문자(b),403518.0
202306,망원1동,외국인방문자(c),1964.0
202306,망원1동,외부방문자(b+c),405482.0
202306,망원1동,전체방문자(a+b+c),978124.0
202306,망원2동,현지인방문자(a),526869.0
202306,망원2동,외지인방문자(b),362488.0
202306,망원2동,외국인방문자(c),1151.0
202306,망원2동,외부방문자(b+c),363639.0
202306,망원2동,전체방문자(a+b+c),890508.0
202306,성산1동,현지인방문자(a),501862.0
202306,성산1동,외지인방문자(b),264782.0
202306,성산1동,외국인방문자(c),2484.0
202306,성산1동,외부방문자(b+c),267266.0
202306,성산1동,전체방문자(a+b+c),769127.0
202306,성산2동,현지인방문자(a),815440.0
202306,성산2동,외지인방문자(b),672620.0
202306,성산2동,외국인방문자(c),1312.0
202306,성산2동,외부방문자(b+c),673931.0
202306,성산2동,전체방문자(a+b+c),1489372.0
202306,상암동,현지인방문자(a),1179661.0
202306,상암동,외지인방문자(b),1262146.0
202306,상암동,외국인방문자(c),4196.0
202306,상암동,외부방문자(b+c),1266342.0
202306,상암동,전체방문자(a+b+c),2446003.0
202307,망원1동,현지인방문자(a),617855.0
202307,망원1동,외지인방문자(b),419755.0
202307,망원1동,외국인방문자(c),2274.0
202307,망원1동,외부방문자(b+c),422029.0
202307,망원1동,전체방문자(a+b+c),1039884.0
202307,망원2동,현지인방문자(a),517024.0
202307,망원2동,외지인방문자(b),297224.0
202307,망원2동,외국인방문자(c),1170.0
202307,망원2동,외부방문자(b+c),298393.0
202307,망원2동,전체방문자(a+b+c),815417.0
202307,성산1동,현지인방문자(a),487350.0
202307,성산1동,외지인방문자(b),259710.0
202307,성산1동,외국인방문자(c),2951.0
202307,성산1동,외부방문자(b+c),262662.0
202307,성산1동,전체방문자(a+b+c),750012.0
202307,성산2동,현지인방문자(a),783836.0
202307,성산2동,외지인방문자(b),749462.0
202307,성산2동,외국인방문자(c),2694.0
202307,성산2동,외부방문자(b+c),752156.0
202307,성산2동,전체방문자(a+b+c),1535991.0
202307,상암동,현지인방문자(a),1148763.0
202307,상암동,외지인방문자(b),1187652.0
202307,상암동,외국인방문자(c),5305.0
202307,상암동,외부방문자(b+c),1192957.0
202307,상암동,전체방문자(a+b+c),2341720.0
202308,망원1동,현지인방문자(a),588200.0
202308,망원1동,외지인방문자(b),404338.0
202308,망원1동,외국인방문자(c),2569.0
202308,망원1동,외부방문자(b+c),406906.0
202308,망원1동,전체방문자(a+b+c),995106.0
202308,망원2동,현지인방문자(a),491785.0
202308,망원2동,외지인방문자(b),300615.0
202308,망원2동,외국인방문자(c),1507.0
202308,망원2동,외부방문자(b+c),302122.0
202308,망원2동,전체방문자(a+b+c),793907.0
202308,성산1동,현지인방문자(a),481540.0
202308,성산1동,외지인방문자(b),247492.0
202308,성산1동,외국인방문자(c),3219.0
202308,성산1동,외부방문자(b+c),250711.0
202308,성산1동,전체방문자(a+b+c),732252.0
202308,성산2동,현지인방문자(a),777088.0
202308,성산2동,외지인방문자(b),616854.0
202308,성산2동,외국인방문자(c),5978.0
202308,성산2동,외부방문자(b+c),622832.0
202308,성산2동,전체방문자(a+b+c),1399920.0
202308,상암동,현지인방문자(a),1099826.0
202308,상암동,외지인방문자(b),1150198.0
202308,상암동,외국인방문자(c),7836.0
202308,상암동,외부방문자(b+c),1158034.0
202308,상암동,전체방문자(a+b+c),2257860.0
202309,망원1동,현지인방문자(a),613186.0
202309,망원1동,외지인방문자(b),447136.0
202309,망원1동,외국인방문자(c),2943.0
202309,망원1동,외부방문자(b+c),450079.0
202309,망원1동,전체방문자(a+b+c),1063265.0
202309,망원2동,현지인방문자(a),495100.0
202309,망원2동,외지인방문자(b),369456.0
202309,망원2동,외국인방문자(c),1355.0
202309,망원2동,외부방문자(b+c),370811.0
202309,망원2동,전체방문자(a+b+c),865911.0
202309,성산1동,현지인방문자(a),489440.0
202309,성산1동,외지인방문자(b),265492.0
202309,성산1동,외국인방문자(c),3487.0
202309,성산1동,외부방문자(b+c),268980.0
202309,성산1동,전체방문자(a+b+c),758420.0
202309,성산2동,현지인방문자(a),757939.0
202309,성산2동,외지인방문자(b),680540.0
202309,성산2동,외국인방문자(c),2252.0
202309,성산2동,외부방문자(b+c),682792.0
202309,성산2동,전체방문자(a+b+c),1440731.0
202309,상암동,현지인방문자(a),1089025.0
202309,상암동,외지인방문자(b),1312994.0
202309,상암동,외국인방문자(c),5931.0
202309,상암동,외부방문자(b+c),1318925.0
202309,상암동,전체방문자(a+b+c),2407950.0
202310,망원1동,현지인방문자(a),694764.0
202310,망원1동,외지인방문자(b),487137.0
202310,망원1동,외국인방문자(c),4418.0
202310,망원1동,외부방문자(b+c),491555.0
