title,link,source,date
"한강을 FUN하게 즐기는 법...수상레포츠부터 캠핑, 축제까지",https://www.etoday.co.kr/news/view/2367303,이투데이,2024-06-05
"이번 주말, 즐길거리 가득한 서울함공원축제 가볼까",http://www.edaily.co.kr/news/newspath.asp?newsid=02335366638891216,이데일리,2024-06-06
[르포] 엄마가 장보는 영등포시장·MZ가 놀러가는망원시장,https://www.asiatime.co.kr/article/20240527500253,아시아타임즈,2024-06-06
망원한강공원‘핫플’ 서울함공원에서 열리는 축제 '2024 서울함페스티벌 봄...,http://digitalchosun.dizzo.com/site/data/html_dir/2024/05/21/2024052180249.html,디지틀조선일보,2024-06-06
[TRAVEL] 익숙한 듯 낯선...눈부신 봄날의한강피크닉,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00007&news_seq_no=5027624,MBN,2024-06-06
"주말 아이와 가볼만한 곳 추천, 어린이 미술대회 해군의장대 퍼레이드…서울함...",https://www.lecturernews.com/news/articleView.html?idxno=152841,한국강사신문,2024-06-06
밤까지 눈썰매타며 뜨끈한 '어묵+떡볶이'까지 즐길 수 있는 '뚝섬 눈썰매장' ...,https://www.insight.co.kr/news/458157,인사이트,2023-12-21
잠실한강공원에 ‘사계절 물놀이장’ 오픈… 족욕·인피니티풀 조성,http://www.metroseoul.co.kr/article/20240408500317,메트로신문,2024-04-08
"잠실한강공원물놀이장, 사계절 여가·문화 공간 ‘자연형 물놀이장’으로 재...",https://weekly.cnbnews.com/news/article.html?no=159623,CNB저널(문화경제),2024-04-09
한강공원까지 걸어서 10분 안에 간다,http://www.newsmaker.or.kr/news/articleView.html?idxno=148128,뉴스메이커,2024-01-17
"‘윤영달의 조각 사랑’ 크라운해태, 세 번째한강공원순회 전시회",https://www.etoday.co.kr/news/view/2347105,이투데이,2024-04-03
"잠실한강공원물놀이장, 사계절 여가·문화 공간 ‘자연형 물놀이장’으로 재...",https://weekly.cnbnews.com/news/article.html?no=159623,CNB저널(문화경제),2024-04-09
전국 곳곳서 가정의 달·어린이날행사…온 가족 체험 볼거리 가득,https://www.newspim.com/news/view/20240426000461,뉴스핌,2024-04-27
명지대 2024 1학기 ESG 봉사대축제,https://www.joongang.co.kr/article/25252997,중앙일보,2024-05-31
한강공원까지 걸어서 10분 안에 간다,http://www.newsmaker.or.kr/news/articleView.html?idxno=148128,뉴스메이커,2024-01-17
"서울시, '한강까지 걸어서 10분' 박차… 올해 나들목 62개, 승강기 50개로 확...",https://www.discoverynews.kr/news/articleView.html?idxno=1038768,디스커버리뉴스,2024-01-18
한강숲 확충·녹색쉼터 설치·수질오염원 관리로 되살아나는한강공원,http://www.metroseoul.co.kr/article/20231218500507,메트로신문,2023-12-18
"명지대, 2024학년도 1학기 사회봉사단 ESG 봉사대축제 개최",https://edu.chosun.com/site/data/html_dir/2024/05/29/2024052980208.html,조선에듀,2024-05-30
“한강서 크리스마스 마켓·눈썰매 즐겨요”…한강겨울페스타 개막,https://www.munhwa.com/news/view.html?no=2023122301039910163001,문화일보,2023-12-23
한강에서 만나는 로맨틱한 크리스마스,https://www.junggi.co.kr/article/articleView.html?no=31516,중기이코노미,2023-12-22
"한강서 즐기는 크리스마스 마켓·눈썰매…""연말연시한강으로 오세요""",https://www.news1.kr/articles/5263127,뉴스1,2023-12-17
'2023한강페스티벌' 책읽는한강공원시네마천국 서울함페스티벌 등 가을축제...,https://www.lecturernews.com/news/articleView.html?idxno=137236,한국강사신문,2023-10-07
서울시체육회 ‘제5차한강트레킹’ 참가자 모집,http://www.skyedaily.com/news/news_view.html?ID=209168,스카이데일리,2023-10-19
고궁부터한강까지 ‘따릉이’ 타고 힐링하며 시간여행,https://www.etoday.co.kr/news/view/2293004,이투데이,2023-10-18
"""추석 때 고향? 나는한강서 추캉스""...연휴를 알차게 채워줄 이벤트",http://www.newspost.kr/news/articleView.html?idxno=111454,뉴스포스트,2023-09-28
노을 테마 걷기·음악회·요가까지 모두한강에서 즐긴다...서울시 '2023한강...,https://www.ajunews.com/view/20231005082402847,아주경제,2023-10-05
오늘한강공원서 '무소음DJ파티'...비보잉 공연도,http://www.metroseoul.co.kr/article/20230812500015,메트로신문,2023-08-12
군함 체험·사물놀이·마술쇼…“서울함공원서 나들이 즐기세요”,http://news.heraldcorp.com/view.php?ud=20190417000452,헤럴드경제,2024-06-06
"[르포]한강서 즐기는 '노을 출사'…""봐, 오길 잘했지""",https://view.asiae.co.kr/article/2023091017450830213,아시아경제언론사 선정,2023-09-10
"경찰, 서울세계불꽃축제 본다고한강다리 위 불법 주차 땐 곧장 '견인'",http://www.econonews.co.kr/news/articleView.html?idxno=306630,이코노뉴스,2023-10-07
한강과 광화문 일대서 軍행사다채...국군의 날 기념,https://www.asiatoday.co.kr/view.php?key=20230823010012227,아시아투데이,2023-08-23
한강바라보며 즐기는 족구,https://www.news1.kr/photos/view/?6267176,뉴스1,2023-10-15
"‘클럽·영화관·야간 수영장’…한강, 거대한행사장으로 변한다",https://news.kmib.co.kr/article/view.asp?arcid=0924314365&code=11131400&cp=nv,국민일보,2024-06-06
"‘클럽·영화관·야간 수영장’ 한여름한강, 거대한행사장으로 변한다",https://news.kmib.co.kr/article/view.asp?arcid=0018523303&code=61121111&cp=nv,국민일보,2023-08-01
"서울시, 도심부터한강까지 다채로운 생활체육 프로그램 운영",https://www.discoverynews.kr/news/articleView.html?idxno=1032830,디스커버리뉴스,2023-09-09
