기준년월,지자체,방문자 구분,방문자수
202305,한강로동,현지인방문자(a),1546968.0
202305,한강로동,외지인방문자(b),2905784.0
202305,한강로동,외국인방문자(c),20565.0
202305,한강로동,외부방문자(b+c),2926349.0
202305,한강로동,전체방문자(a+b+c),4473317.0
202305,이태원1동,현지인방문자(a),398702.0
202305,이태원1동,외지인방문자(b),634571.0
202305,이태원1동,외국인방문자(c),15997.0
202305,이태원1동,외부방문자(b+c),650568.0
202305,이태원1동,전체방문자(a+b+c),1049270.0
202305,한남동,현지인방문자(a),831607.0
202305,한남동,외지인방문자(b),1504664.0
202305,한남동,외국인방문자(c),16196.0
202305,한남동,외부방문자(b+c),1520860.0
202305,한남동,전체방문자(a+b+c),2352467.0
202305,오륜동,현지인방문자(a),406830.0
202305,오륜동,외지인방문자(b),477656.0
202305,오륜동,외국인방문자(c),825.0
202305,오륜동,외부방문자(b+c),478480.0
202305,오륜동,전체방문자(a+b+c),885310.0
202306,한강로동,현지인방문자(a),1475390.0
202306,한강로동,외지인방문자(b),2927589.0
202306,한강로동,외국인방문자(c),25439.0
202306,한강로동,외부방문자(b+c),2953028.0
202306,한강로동,전체방문자(a+b+c),4428418.0
202306,이태원1동,현지인방문자(a),382750.0
202306,이태원1동,외지인방문자(b),665536.0
202306,이태원1동,외국인방문자(c),16607.0
202306,이태원1동,외부방문자(b+c),682142.0
202306,이태원1동,전체방문자(a+b+c),1064892.0
202306,한남동,현지인방문자(a),761386.0
202306,한남동,외지인방문자(b),1467620.0
202306,한남동,외국인방문자(c),18108.0
202306,한남동,외부방문자(b+c),1485728.0
202306,한남동,전체방문자(a+b+c),2247114.0
202306,오륜동,현지인방문자(a),461027.0
202306,오륜동,외지인방문자(b),530828.0
202306,오륜동,외국인방문자(c),5384.0
202306,오륜동,외부방문자(b+c),536212.0
202306,오륜동,전체방문자(a+b+c),997239.0
202307,한강로동,현지인방문자(a),1473014.0
202307,한강로동,외지인방문자(b),2981206.0
202307,한강로동,외국인방문자(c),32504.0
202307,한강로동,외부방문자(b+c),3013710.0
202307,한강로동,전체방문자(a+b+c),4486723.0
202307,이태원1동,현지인방문자(a),377514.0
202307,이태원1동,외지인방문자(b),714007.0
202307,이태원1동,외국인방문자(c),20042.0
202307,이태원1동,외부방문자(b+c),734049.0
202307,이태원1동,전체방문자(a+b+c),1111563.0
202307,한남동,현지인방문자(a),753714.0
202307,한남동,외지인방문자(b),1462433.0
202307,한남동,외국인방문자(c),21847.0
202307,한남동,외부방문자(b+c),1484280.0
202307,한남동,전체방문자(a+b+c),2237995.0
202307,오륜동,현지인방문자(a),486454.0
202307,오륜동,외지인방문자(b),456785.0
202307,오륜동,외국인방문자(c),5466.0
202307,오륜동,외부방문자(b+c),462251.0
202307,오륜동,전체방문자(a+b+c),948705.0
202308,한강로동,현지인방문자(a),1429908.0
202308,한강로동,외지인방문자(b),3005128.0
202308,한강로동,외국인방문자(c),31307.0
202308,한강로동,외부방문자(b+c),3036435.0
202308,한강로동,전체방문자(a+b+c),4466342.0
202308,이태원1동,현지인방문자(a),353994.0
202308,이태원1동,외지인방문자(b),662305.0
202308,이태원1동,외국인방문자(c),21050.0
202308,이태원1동,외부방문자(b+c),683355.0
202308,이태원1동,전체방문자(a+b+c),1037348.0
202308,한남동,현지인방문자(a),750180.0
202308,한남동,외지인방문자(b),1422914.0
202308,한남동,외국인방문자(c),22374.0
202308,한남동,외부방문자(b+c),1445289.0
202308,한남동,전체방문자(a+b+c),2195468.0
202308,오륜동,현지인방문자(a),440990.0
202308,오륜동,외지인방문자(b),440940.0
202308,오륜동,외국인방문자(c),5116.0
202308,오륜동,외부방문자(b+c),446057.0
202308,오륜동,전체방문자(a+b+c),887046.0
202309,한강로동,현지인방문자(a),1347220.0
202309,한강로동,외지인방문자(b),2832473.0
202309,한강로동,외국인방문자(c),36084.0
