title,link,source,date
"""8일서울숲서 무료 힙합 공연 열려요""…양동근·넉살 등 출연",https://www.yna.co.kr/view/AKR20240604059700004?input=1195m,연합뉴스,2024-06-05
스포츠서울·맨발걷기국민운동본부 맞손! 29일서울숲서 '제1회 K-맨발걷기 페...,https://mydaily.co.kr/page/view/2024060416141675202,마이데일리,2024-06-05
제1회 ‘서울 K-맨발걷기 페스티벌’ 6월 29일서울숲서 개최,https://www.sportsseoul.com/news/read/1434283?ref=naver,스포츠서울,2024-06-04
"포레포레,서울숲스토어서 플리마켓·팝업스토어 대성공",http://www.ktnews.com/news/articleView.html?idxno=133322,한국섬유신문,2024-06-05
'제1회 K-어싱 축제' 성료..서울숲에서 400여 시민 함께한 맨발 축제,http://kpenews.com/View.aspx?No=3253784,한국정경신문,2024-06-04
"'제1회 K-어싱 축제', 시민과 함께한 맨발축제 성공적인 개최",http://www.fntoday.co.kr/news/articleView.html?idxno=322012,파이낸스투데이,2024-06-05
〔브랜드〕제1회 K어싱 축제 시민과 함께한 맨발축제 성공적인 개최,http://www.fntoday.co.kr/news/articleView.html?idxno=321917,파이낸스투데이,2024-06-05
"‘춘천 관광 팝업스토어’,서울숲인근에서 운영",https://news.kbs.co.kr/news/pc/view/view.do?ncd=7977137&ref=A,KBS,2024-06-01
이제 K-어싱 시대…누구나 맨발로 걷는 축제 열린다,https://www.mk.co.kr/article/11028597,매일경제,2024-05-31
춤과 어싱이 결합한 제1회 K-어싱축제 개최...,http://www.livesnews.com/news/article.html?no=41153,라이브팜뉴스,2024-06-03
"현대글로비스,서울숲에서 환경정화 플로깅",https://www.khan.co.kr/economy/business/article/202405210909001,경향신문,2024-06-06
"""지금, 올레?""…제주올레,서울숲걷기학교 인기",https://www.yna.co.kr/view/AKR20240521075700056?input=1195m,연합뉴스,2024-06-06
"SM,서울숲내 ‘광야숲’ 확대…생태환경보전 앞장선다",https://www.sportsworldi.com/newsView/20240522504365,스포츠월드,2024-06-06
"[게시판] SOOP, 스트리머와 함께하는 애장품 자선 판매행사",https://www.yna.co.kr/view/AKR20240517050700017?input=1195m,연합뉴스,2024-06-06
"자생한방병원, 건강 되찾은 환우들과서울숲건강걷기대회 열어",https://www.rapportian.com/news/articleView.html?idxno=207221,라포르시안,2024-06-06
"에쓰푸드, 신규 치즈 브랜드 ‘치즈문’ 론칭행사성료",http://www.edaily.co.kr/news/newspath.asp?newsid=02768326638890888,이데일리,2024-06-06
"[동네한바퀴] '서울 핫플' 놀거리 코스, 이번 주는 성수 찍고서울숲어때?",http://www.dailypop.kr/news/articleView.html?idxno=78255,데일리팝,2024-06-06
"호남대 인사연, 외국인 유학생 '글로벌 리터러시 문화탐방행사' 진행",http://www.veritas-a.com/news/articleView.html?idxno=506240,베리타스알파,2024-06-06
"[하루만보하루천자]서울서도, 어린이도 다 같이 '제주올레'",https://view.asiae.co.kr/article/2024052212532250156,아시아경제,2024-06-06
제21회 서울국제환경영화제 다채로운 ‘에코토크’행사진행,https://www.vegannews.co.kr/news/article.html?no=21563,비건뉴스,2024-06-06
