공원명,공원 시명,공원 구명,공원 지번 주소,공원 도로명 주소,등록 일시,수정자 일련번호,수정 일시,일반이용자(아침),일반이용자(낮),일반이용자(저녁),자전거,인라인,pm(개인형이동장치),주요행사,마라톤,운동시설,야구장,론볼링장,트랙구장,롤러장,자전거공원,외국인,수상시설,수영장/물놀이장,빙상장/눈설매장,전망쉼터,캠핑장,자연학습장,음악분수,키즈랜드,장미원,x게임장,자벌레,달빛무지개,세빛섬,수상무대,"계절,녹음수광장",천상계단,피아노물길,멀티프라자,서울색공원,물빛광장,너플들판테라스,골프장,여의도샛강,여의도시민 요트나루,평화공원브릿지,거울분수,강변물놀이장,강변프롬나드,난지 하늘다리,갈대숲탐장로,꿀벌숲,치유의숲,그라스정원,노들섬,습지생태공원
강서 한강공원,서울,강서구,방화동 47,양천로27길 279-23,2024년 3월 8일 금요일,,,3966,15103,4355,66551,219,504,3400,8226,5561,0,0,0,0,0,303,0,0,0,3422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7532
강서 한강공원,서울,강서구,방화동 47,양천로27길 279-23,2024년 2월 13일 화요일,83,2024년 2월 13일 화요일,3483,13007,4181,34679,91,453,0,8377,6457,0,0,0,0,0,232,0,0,0,6377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11587
강서 한강공원,서울,강서구,방화동 47,양천로27길 279-23,2024년 1월 4일 목요일,83,2024년 1월 4일 목요일,4132,14404,3511,65119,176,325,1500,6342,4577,0,0,0,0,0,390,0,0,0,3920,0,6522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강서 한강공원,서울,강서구,방화동 47,양천로27길 279-23,2023년 12월 8일 금요일,,,5260,18265,5093,128123,1006,1096,50,10154,9886,0,0,0,0,0,569,0,0,0,5653,0,9654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강서 한강공원,서울,강서구,방화동 47,양천로27길 279-23,2023년 11월 3일 금요일,,,9840,27620,11689,249692,1686,1944,3030,15341,21212,0,0,0,0,0,1602,0,0,0,15770,0,26006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강서 한강공원,서울,강서구,방화동 47,양천로27길 279-23,2023년 10월 10일 화요일,,,7965,21420,9145,240790,802,1030,170,29307,16062,0,0,0,0,0,900,0,0,0,6984,0,13908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강서 한강공원,서울,강서구,방화동 47,양천로27길 279-23,2023년 9월 5일 화요일,,,9595,31696,8892,236487,842,931,220,15653,14898,0,0,0,0,0,779,0,0,0,7251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강서 한강공원,서울,강서구,방화동 47,양천로27길 279-23,2023년 8월 8일 화요일,,,8752,22140,9876,164915,827,1914,0,13123,13052,0,0,0,0,0,406,0,0,0,7832,0,5397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강서 한강공원,서울,강서구,방화동 47,양천로27길 279-23,2023년 7월 12일 수요일,,,9430,26325,11624,299754,948,1301,95,10853,32253,0,0,0,0,0,277,0,0,0,11009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강서 한강공원,서울,강서구,방화동 47,양천로27길 279-23,2023년 6월 8일 목요일,,,9971,26050,10415,213104,1067,1332,610,10926,30176,0,0,0,0,0,238,0,0,0,9207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강서 한강공원,서울,강서구,방화동 47,양천로27길 279-23,2023년 5월 12일 금요일,66,2023년 5월 12일 금요일,9086,24380,10079,154270,559,853,50,9712,23946,0,0,0,0,0,89,0,0,0,7817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강서 한강공원,서울,강서구,방화동 47,양천로27길 279-23,2023년 4월 6일 목요일,,,11270,20962,11237,130675,643,1695,0,12765,23242,0,0,0,0,0,187,0,0,0,7544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광나루 한강공원,서울,강동구,암사동 637-6,선사로 83-106,2024년 3월 8일 금요일,,,2840,33780,25450,28680,41,66,0,0,14570,905,0,0,100,6348,53,0,0,0,0,0,6610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광나루 한강공원,서울,강동구,암사동 637-6,선사로 83-106,2024년 2월 13일 화요일,,,3110,29720,19080,15974,4,111,0,0,11994,20,0,0,0,3292,22,0,0,0,0,0,1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광나루 한강공원,서울,강동구,암사동 637-6,선사로 83-106,2024년 1월 4일 목요일,,,2920,22680,12343,16838,38,87,0,0,12167,165,0,0,0,3088,56,0,0,0,0,0,3283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광나루 한강공원,서울,강동구,암사동 637-6,선사로 83-106,2023년 12월 7일 목요일,,,4810,33430,16955,31871,46,153,400,0,20723,195,0,0,3,5501,108,0,0,0,0,0,4175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광나루 한강공원,서울,강동구,암사동 637-6,선사로 83-106,2023년 11월 2일 목요일,,,7550,48810,36240,60685,140,274,1600,0,27485,860,0,0,15,12261,254,0,0,0,0,0,15834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광나루 한강공원,서울,강동구,암사동 637-6,선사로 83-106,2023년 10월 5일 목요일,,,8730,45800,40720,59788,144,166,0,9000,22762,1005,0,0,44,8347,97,0,0,0,0,0,13266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광나루 한강공원,서울,강동구,암사동 637-6,선사로 83-106,2023년 9월 5일 화요일,,,7760,44470,40112,46934,90,116,2200,18,19619,960,0,0,20,8824,73,0,30270,0,0,0,4170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광나루 한강공원,서울,강동구,암사동 637-6,선사로 83-106,2023년 8월 10일 목요일,,,6590,36211,37090,38335,18,179,0,8,20270,50,0,0,25,5898,34,0,35665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광나루 한강공원,서울,강동구,암사동 637-6,선사로 83-106,2023년 7월 12일 수요일,,,6520,58990,41090,65060,163,213,0,10,38715,275,0,0,120,9625,187,0,3502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광나루 한강공원,서울,강동구,암사동 637-6,선사로 83-106,2023년 6월 8일 목요일,,,4260,70370,33220,73475,353,186,1600,58,37670,300,0,0,87,10973,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광나루 한강공원,서울,강동구,암사동 637-6,선사로 83-106,2023년 5월 11일 목요일,66,2023년 5월 12일 금요일,4070,55720,35221,58890,83,154,0,870,40894,165,0,0,25,10923,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광나루 한강공원,서울,강동구,암사동 637-6,선사로 83-106,2023년 4월 6일 목요일,,,5890,62830,29620,57855,143,222,3200,550,47385,385,0,0,0,16793,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
난지 한강공원,서울,마포구,상암동 495-81,한강난지로 22,2024년 3월 8일 금요일,83,2024년 3월 8일 금요일,5637,13579,18300,27046,411,552,0,7465,11425,284,0,0,0,6617,1869,963,0,0,0,5783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11215,10542,4,9157,9500,8432,0,0,0,0,0
