관광지명(소재지역),대분류명,중분류명,10대 이하 남성 비율,10대 이하 여성 비율,20대 남성 비율,20대 여성 비율,30대 남성 비율,30대 여성 비율,40대 남성 비율,40대 여성 비율,50대 남성 비율,50대 여성 비율,60대 남성 비율,60대 여성 비율,70대 이상 남성 비율,70대 이상 여성 비율
금남시장,쇼핑,쇼핑,3,2.8,7.5,6.8,8.6,8.3,7,7.5,8.3,10.6,6.6,10.4,4.8,7.8
달맞이봉공원,인문(문화/예술/역사),휴양관광지,3.3,3.3,4.2,4.6,9,11.8,10.3,10.8,6.6,9.6,6.4,9.7,4.2,6.1
더서울라이티움,인문(문화/예술/역사),문화시설,1.2,3.4,10.9,26.1,11.6,15,6.3,6.9,4.1,5.5,3.1,4,0.9,1.1
뚝도시장,쇼핑,쇼핑,2.1,3,9.8,14.6,12.1,10.9,7.9,5.3,8,7.4,7.9,6,2.4,2.5
마장축산물시장,쇼핑,쇼핑,3,2.5,8.3,7,11.6,8.2,9.8,6.1,10.1,7.9,8.4,7.4,4.7,4.9
미타사(성동),인문(문화/예술/역사),역사관광지,5.8,6.2,4.9,6,7.6,9.9,10.3,11.9,5.4,9.1,5.1,9.4,4,4.5
살곶이체육공원,인문(문화/예술/역사),휴양관광지,2.8,2.2,23,16,9.5,6.4,7.1,5.3,7.3,6.2,5,4.6,2.4,2.3
서울숲,인문(문화/예술/역사),휴양관광지,2.3,3.4,9.7,18.3,11.3,13.2,7.8,6.4,6.1,7,4.6,5.3,2.2,2.5
성수동수제화거리,인문(문화/예술/역사),체험관광지,1.5,2.3,13.6,21.3,13.8,12.2,8.7,5.5,6.4,4.6,4.3,3,1.7,1.1
에스팩토리,인문(문화/예술/역사),문화시설,1.1,1.9,15.4,22.9,15.7,11.5,9.1,4.8,6.7,3.5,4.3,1.7,1,0.4
응봉산(서울),자연,자연관광지,4.4,4.2,5.5,6.2,8.5,10.3,9.9,8.8,7.1,9.2,6.9,9.5,4.1,5.4
응봉체육공원,인문(문화/예술/역사),휴양관광지,5.8,4.4,6.5,7,7.6,9.1,10,8.9,8.3,9.3,6,7.7,4.6,4.8
청계천박물관,인문(문화/예술/역사),문화시설,0.8,0.5,15.7,13.9,20.8,9.7,11.9,5.1,11.7,4.5,2.8,1.4,0.5,0.6
