기준년월,지자체,방문자 구분,방문자수
202305,성수1가1동,현지인방문자(a),550372
202305,성수1가1동,외지인방문자(b),762713
202305,성수1가1동,외국인방문자(c),4446
202305,성수1가1동,외부방문자(b+c),767159
202305,성수1가1동,전체방문자(a+b+c),1317530
202305,성수1가2동,현지인방문자(a),586012
202305,성수1가2동,외지인방문자(b),817100
202305,성수1가2동,외국인방문자(c),3443
202305,성수1가2동,외부방문자(b+c),820543
202305,성수1가2동,전체방문자(a+b+c),1406555
202305,성수2가1동,현지인방문자(a),482388
202305,성수2가1동,외지인방문자(b),501624
202305,성수2가1동,외국인방문자(c),2481
202305,성수2가1동,외부방문자(b+c),504104
202305,성수2가1동,전체방문자(a+b+c),986492
202305,성수2가3동,현지인방문자(a),796383
202305,성수2가3동,외지인방문자(b),1217244
202305,성수2가3동,외국인방문자(c),8611
202305,성수2가3동,외부방문자(b+c),1225855
202305,성수2가3동,전체방문자(a+b+c),2022238
202305,화양동,현지인방문자(a),1097940
202305,화양동,외지인방문자(b),1376606
202305,화양동,외국인방문자(c),2774
202305,화양동,외부방문자(b+c),1379380
202305,화양동,전체방문자(a+b+c),2477319
202306,성수1가1동,현지인방문자(a),510080
202306,성수1가1동,외지인방문자(b),674758
202306,성수1가1동,외국인방문자(c),5447
202306,성수1가1동,외부방문자(b+c),680205
202306,성수1가1동,전체방문자(a+b+c),1190285
202306,성수1가2동,현지인방문자(a),546014
202306,성수1가2동,외지인방문자(b),761908
202306,성수1가2동,외국인방문자(c),3811
202306,성수1가2동,외부방문자(b+c),765719
202306,성수1가2동,전체방문자(a+b+c),1311733
202306,성수2가1동,현지인방문자(a),433772
202306,성수2가1동,외지인방문자(b),470890
202306,성수2가1동,외국인방문자(c),3021
202306,성수2가1동,외부방문자(b+c),473911
202306,성수2가1동,전체방문자(a+b+c),907684
202306,성수2가3동,현지인방문자(a),669025
202306,성수2가3동,외지인방문자(b),1105545
202306,성수2가3동,외국인방문자(c),9877
202306,성수2가3동,외부방문자(b+c),1115422
202306,성수2가3동,전체방문자(a+b+c),1784447
202306,화양동,현지인방문자(a),991977
202306,화양동,외지인방문자(b),1277448
202306,화양동,외국인방문자(c),3614
202306,화양동,외부방문자(b+c),1281062
202306,화양동,전체방문자(a+b+c),2273039
202307,성수1가1동,현지인방문자(a),536588
202307,성수1가1동,외지인방문자(b),637494
202307,성수1가1동,외국인방문자(c),6652
202307,성수1가1동,외부방문자(b+c),644146
202307,성수1가1동,전체방문자(a+b+c),1180734
202307,성수1가2동,현지인방문자(a),523803
202307,성수1가2동,외지인방문자(b),680536
202307,성수1가2동,외국인방문자(c),4339
202307,성수1가2동,외부방문자(b+c),684875
202307,성수1가2동,전체방문자(a+b+c),1208678
202307,성수2가1동,현지인방문자(a),487204
202307,성수2가1동,외지인방문자(b),507871
202307,성수2가1동,외국인방문자(c),3846
202307,성수2가1동,외부방문자(b+c),511717
202307,성수2가1동,전체방문자(a+b+c),998920
202307,성수2가3동,현지인방문자(a),643094
202307,성수2가3동,외지인방문자(b),1099136
202307,성수2가3동,외국인방문자(c),11676
202307,성수2가3동,외부방문자(b+c),1110812
202307,성수2가3동,전체방문자(a+b+c),1753906
202307,화양동,현지인방문자(a),922624
202307,화양동,외지인방문자(b),1239276
202307,화양동,외국인방문자(c),5764
202307,화양동,외부방문자(b+c),1245041
202307,화양동,전체방문자(a+b+c),2167665
202308,성수1가1동,현지인방문자(a),490469
202308,성수1가1동,외지인방문자(b),623466
202308,성수1가1동,외국인방문자(c),7149
202308,성수1가1동,외부방문자(b+c),630615
202308,성수1가1동,전체방문자(a+b+c),1121084
202308,성수1가2동,현지인방문자(a),510030
202308,성수1가2동,외지인방문자(b),678604
202308,성수1가2동,외국인방문자(c),4538
202308,성수1가2동,외부방문자(b+c),683143
202308,성수1가2동,전체방문자(a+b+c),1193173
202308,성수2가1동,현지인방문자(a),418558
202308,성수2가1동,외지인방문자(b),503188
202308,성수2가1동,외국인방문자(c),4087
202308,성수2가1동,외부방문자(b+c),507275
202308,성수2가1동,전체방문자(a+b+c),925833
202308,성수2가3동,현지인방문자(a),624404
202308,성수2가3동,외지인방문자(b),1093096
202308,성수2가3동,외국인방문자(c),13086
202308,성수2가3동,외부방문자(b+c),1106182
202308,성수2가3동,전체방문자(a+b+c),1730585
202308,화양동,현지인방문자(a),880352
202308,화양동,외지인방문자(b),1225704
202308,화양동,외국인방문자(c),6370
202308,화양동,외부방문자(b+c),1232073
202308,화양동,전체방문자(a+b+c),2112425
202309,성수1가1동,현지인방문자(a),498242
202309,성수1가1동,외지인방문자(b),659390
202309,성수1가1동,외국인방문자(c),5936
202309,성수1가1동,외부방문자(b+c),665325
202309,성수1가1동,전체방문자(a+b+c),1163568
202309,성수1가2동,현지인방문자(a),514700
202309,성수1가2동,외지인방문자(b),725924
202309,성수1가2동,외국인방문자(c),5350
202309,성수1가2동,외부방문자(b+c),731274
202309,성수1가2동,전체방문자(a+b+c),1245974
202309,성수2가1동,현지인방문자(a),403270
202309,성수2가1동,외지인방문자(b),515375
202309,성수2가1동,외국인방문자(c),4747
202309,성수2가1동,외부방문자(b+c),520122
202309,성수2가1동,전체방문자(a+b+c),923392
202309,성수2가3동,현지인방문자(a),594772
202309,성수2가3동,외지인방문자(b),1118628
202309,성수2가3동,외국인방문자(c),15482
202309,성수2가3동,외부방문자(b+c),1134110
202309,성수2가3동,전체방문자(a+b+c),1728883
202309,화양동,현지인방문자(a),860818
202309,화양동,외지인방문자(b),1322146
202309,화양동,외국인방문자(c),7356
202309,화양동,외부방문자(b+c),1329502
202309,화양동,전체방문자(a+b+c),2190320
202310,성수1가1동,현지인방문자(a),522302
202310,성수1가1동,외지인방문자(b),751331
202310,성수1가1동,외국인방문자(c),10163
202310,성수1가1동,외부방문자(b+c),761494
202310,성수1가1동,전체방문자(a+b+c),1283796
202310,성수1가2동,현지인방문자(a),550025
202310,성수1가2동,외지인방문자(b),867930
202310,성수1가2동,외국인방문자(c),9536
202310,성수1가2동,외부방문자(b+c),877466
202310,성수1가2동,전체방문자(a+b+c),1427491
202310,성수2가1동,현지인방문자(a),417792
202310,성수2가1동,외지인방문자(b),530184
202310,성수2가1동,외국인방문자(c),6042
202310,성수2가1동,외부방문자(b+c),536226
202310,성수2가1동,전체방문자(a+b+c),954017
202310,성수2가3동,현지인방문자(a),637578
202310,성수2가3동,외지인방문자(b),1237142
202310,성수2가3동,외국인방문자(c),20746
202310,성수2가3동,외부방문자(b+c),1257888
202310,성수2가3동,전체방문자(a+b+c),1895465
202310,화양동,현지인방문자(a),901453
202310,화양동,외지인방문자(b),1233050
202310,화양동,외국인방문자(c),5667
202310,화양동,외부방문자(b+c),1238717
202310,화양동,전체방문자(a+b+c),2140170
202311,성수1가1동,현지인방문자(a),497024
202311,성수1가1동,외지인방문자(b),636744
202311,성수1가1동,외국인방문자(c),9805
202311,성수1가1동,외부방문자(b+c),646549
202311,성수1가1동,전체방문자(a+b+c),1143574
202311,성수1가2동,현지인방문자(a),524706
202311,성수1가2동,외지인방문자(b),725540
202311,성수1가2동,외국인방문자(c),7769
202311,성수1가2동,외부방문자(b+c),733308
202311,성수1가2동,전체방문자(a+b+c),1258014
202311,성수2가1동,현지인방문자(a),403025
202311,성수2가1동,외지인방문자(b),472630
202311,성수2가1동,외국인방문자(c),4975
202311,성수2가1동,외부방문자(b+c),477604
202311,성수2가1동,전체방문자(a+b+c),880629
202311,성수2가3동,현지인방문자(a),618306
202311,성수2가3동,외지인방문자(b),1155175
202311,성수2가3동,외국인방문자(c),16785
202311,성수2가3동,외부방문자(b+c),1171960
202311,성수2가3동,전체방문자(a+b+c),1790266
202311,화양동,현지인방문자(a),951814
202311,화양동,외지인방문자(b),1210944
202311,화양동,외국인방문자(c),4525
202311,화양동,외부방문자(b+c),1215469
202311,화양동,전체방문자(a+b+c),2167284
202312,성수1가1동,현지인방문자(a),474548
202312,성수1가1동,외지인방문자(b),607366
202312,성수1가1동,외국인방문자(c),7056
202312,성수1가1동,외부방문자(b+c),614422
202312,성수1가1동,전체방문자(a+b+c),1088969
202312,성수1가2동,현지인방문자(a),488652
202312,성수1가2동,외지인방문자(b),734559
202312,성수1가2동,외국인방문자(c),6009
202312,성수1가2동,외부방문자(b+c),740568
202312,성수1가2동,전체방문자(a+b+c),1229221
202312,성수2가1동,현지인방문자(a),387062
202312,성수2가1동,외지인방문자(b),517962
202312,성수2가1동,외국인방문자(c),5412
202312,성수2가1동,외부방문자(b+c),523373
202312,성수2가1동,전체방문자(a+b+c),910435
202312,성수2가3동,현지인방문자(a),587220
202312,성수2가3동,외지인방문자(b),1290376
202312,성수2가3동,외국인방문자(c),18026
202312,성수2가3동,외부방문자(b+c),1308403
202312,성수2가3동,전체방문자(a+b+c),1895622
202312,화양동,현지인방문자(a),918435
202312,화양동,외지인방문자(b),1298084
202312,화양동,외국인방문자(c),5252
202312,화양동,외부방문자(b+c),1303336
202312,화양동,전체방문자(a+b+c),2221771
202401,성수1가1동,현지인방문자(a),497878
202401,성수1가1동,외지인방문자(b),541964
202401,성수1가1동,외국인방문자(c),4549
202401,성수1가1동,외부방문자(b+c),546514
202401,성수1가1동,전체방문자(a+b+c),1044392
202401,성수1가2동,현지인방문자(a),534457
202401,성수1가2동,외지인방문자(b),680456
202401,성수1가2동,외국인방문자(c),3876
202401,성수1가2동,외부방문자(b+c),684332
202401,성수1가2동,전체방문자(a+b+c),1218789
