title,link,source,date
"서울시향,한강공원서 강변음악회 개최",https://www.newsis.com/view/?id=NISX20240602_0002757669&cID=10701&pID=10700,뉴시스,2024-06-03
통창 너머한강한눈에…베일벗은한강대교 호텔 '스카이스위트',https://www.yna.co.kr/view/AKR20240527136300004?input=1195m,연합뉴스언론사 선정,2024-06-06
"""한강다리 위 하룻밤 어떠세요""…국내 첫 교량 호텔 '스카이 스위트' 공개",http://www.edaily.co.kr/news/newspath.asp?newsid=01295606638893512,이데일리언론사 선정,2024-06-06
"한강1km 종단한 오세훈 시장 ""더 많은 서울시민이 축제를 즐길 수 있길""",https://www.etoday.co.kr/news/view/2365984,이투데이,2024-06-03
"""역대급한강뷰, 대체 어디야?""…처음 보는 이 숙소 알고보니 '직녀 카페'",https://www.sedaily.com/NewsView/2D9D5D9IF3,서울경제언론사 선정,2024-06-06
이색 축제 넘치는한강[기고],https://www.hankookilbo.com/News/Read/A2024052909340001543?did=NA,한국일보,2024-06-06
[D리포트] 영화배우들의 '한강 공원' 봉사 활동,https://news.sbs.co.kr/news/endPage.do?news_id=N1007663570&plink=ORI&cooper=NAVER,SBS,2024-06-06
‘노플라스틱한강’…영화배우들과 함께한강환경 정화,https://news.kbs.co.kr/news/pc/view/view.do?ncd=7973734&ref=A,KBS,2024-06-06
"한지일 양택조 등 150명,한강살리기 프로젝트 자원봉사",http://news.tf.co.kr/read/livingculture/2102346.htm,더팩트,2024-05-30
"마켄,한강공원서 쓰레기 줍기 환경 캠페인 진행",https://www.dailypharm.com/Users/News/NewsView.html?ID=312022&REFERER=NP,데일리팜,2024-06-06
추억의 '대학가요제'…여의도한강공원서 부활한다,https://www.newsis.com/view/?id=NISX20240522_0002743406&cID=10801&pID=14000,뉴시스,2024-06-06
‘노플라스틱한강’…영화배우들과 함께한강환경 정화,https://news.kbs.co.kr/news/pc/view/view.do?ncd=7973734&ref=A,KBS,2024-06-06
"한지일 양택조 등 150명,한강살리기 프로젝트 자원봉사",http://news.tf.co.kr/read/livingculture/2102346.htm,더팩트,2024-05-30
한강경치 품는다...서울한강대교에 세계 첫 '교량 호텔' 탄생,https://economist.co.kr/article/view/ecn202405190004,이코노미스트언론사 선정,2024-06-06
"마켄,한강공원서 쓰레기 줍기 환경 캠페인 진행",https://www.dailypharm.com/Users/News/NewsView.html?ID=312022&REFERER=NP,데일리팜,2024-06-06
"수출입은행,여의도 한강공원에 '희망의 숲 3호' 조성",https://www.news1.kr/articles/5420830,뉴스1,2024-06-06
"""1등하려 밤새우고 왔어요""…한강서 첫 '잠퍼자기 대회' 열려",https://www.news1.kr/articles/5419412,뉴스1언론사 선정,2024-06-06
"한강에 고수들이 모인다…'잠퍼자기 대회', '스타 오디션' 개최",https://www.newsis.com/view/?id=NISX20240514_0002735309&cID=10201&pID=10200,뉴시스언론사 선정,2024-06-06
"한강대학가요제 성료…김춘곤 집행위원장 ""젊음의 축제 응원""",https://daily.hankooki.com/news/articleView.html?idxno=1088780,데일리한국,2024-06-06
여의도한강공원이벤트 광장에서 열린 '2024년 서울도시농업박람회',https://www.newspim.com/news/view/20240524000772,뉴스핌,2024-06-06
[주말 PICK!] 추억의 ‘대학가요제’...25일 ‘2024한강대학가요제’로 돌아...,https://www.nongmin.com/article/20240523500447,농민신문언론사 선정,2024-06-06
"서울시, 24∼25일여의도한강공원서 서울도시농업박람회",https://www.yna.co.kr/view/AKR20240521046600004?input=1195m,연합뉴스,2024-06-06
"한강대학가요제, 서경대 펜타클 팀 '대상'",https://www.newsworks.co.kr/news/articleView.html?idxno=754124,뉴스웍스,2024-06-06
12년 만에 돌아온 대학가요제… 시민 3만여 명한강에 모여,https://www.donga.com/news/Society/article/all/20240527/125133008/1,동아일보,2024-06-06
"[사랑방] 영화배우협,여의도서 ‘한강살리기’행사",https://www.joongang.co.kr/article/25252516,중앙일보,2024-06-06
12년 만에 돌아온 대학가요제…한강엔 추억에 젖은 관객들로 '북적',https://www.news1.kr/articles/5426943,뉴스1,2024-06-06
"[현장] K푸드 페스티벌 넉넉,한강달빛야시장처럼 서울 대표 관광지 되나",https://www.businesspost.co.kr/BP?command=article_view&num=353875,비즈니스포스트,2024-05-31
"오세훈 서울 시장, '2024한강대학가요제' 참석",http://www.enewstoday.co.kr/news/articleView.html?idxno=2131991,이뉴스투데이,2024-06-06
25일 ‘한강대학가요제’…12개 팀 최종 경연 [연예뉴스 HOT],https://sports.donga.com/article/all/20240522/125063284/1,스포츠동아,2024-06-06
"LGU+ ""한강공원에서 '무너'와 책 읽으세요""",https://www.sedaily.com/NewsView/2D930SIC3T,서울경제,2024-05-06
제2의 심수봉·신해철 나오나… 대학가요제한강서 부활,https://www.chosun.com/national/national_general/2024/05/24/PBUDY3VAANDXVGQU3XLTA6JU4A/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,조선일보,2024-06-06
대학생 열정으로 수놓은 5월의한강… 3만 명 시민 즐긴 2024한강대학가요제,http://edu.donga.com/?p=article&ps=view&at_no=20240525222405753529,에듀동아,2024-06-06
트레이닝복에 인형 안고…한강 공원서 ‘잠 퍼자는 사람들’ 왜?,https://www.sedaily.com/NewsView/2D98JWQ3B6,서울경제언론사 선정,2024-06-06
[뉴스1 PICK]한강에서 잠 퍼잤어요 '잠 고수는?',https://www.news1.kr/articles/5419503,뉴스1,2024-06-06
"이상한 나라의 앨리스, 무소음 DJ파티…'한강페스티벌 봄' 개막",https://www.yna.co.kr/view/AKR20240511023800004?input=1195m,연합뉴스,2024-06-06
"서울시, 11일 '한강잠퍼자기 대회' 우천으로 한 주 연기",https://www.yna.co.kr/view/AKR20240509153800004?input=1195m,연합뉴스,2024-06-06
"오세훈 시장, 25일여의도러너스테이션 점검 및 「2024한강대학가요제」 관...",https://www.kmaeil.com/news/articleView.html?idxno=455730,경인매일,2024-06-06
“이색 K-푸드 한자리…세종로공원문 두드려요”…‘K-푸드 페스티벌 넉넉’...,https://www.viva100.com/main/view.php?key=20240523010007062,브릿지경제,2024-06-06
'2024한강대학가요제' 본선참가자 사전설명회 개최,https://daily.hankooki.com/news/articleView.html?idxno=1085392,데일리한국,2024-06-06
"[5월 23일(목) 오늘, 서울시]한강에서 부활한 대학가요제, 25일 본선무대",https://www.dailian.co.kr/news/view/1364075/?sc=Naver,데일리안,2024-06-06
[TRAVEL] 익숙한 듯 낯선...눈부신 봄날의한강피크닉,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00007&news_seq_no=5027624,MBN,2024-06-06
심박수 뚝 떨어져야 승자! …한강공원'꿀잠 대결' [소곤소곤 우리들 이야기...,https://www.mk.co.kr/article/11022972,매일경제,2024-06-06
"[하루만보하루천자]""무박 2일 걷기로 열대야 즐기자""…한강나이트워크42K 열린...",https://view.asiae.co.kr/article/2024052013410417106,아시아경제,2024-06-06
"무한궤도, 전람회, Ex... 빛나는 가수들 배출한 대학가요제 부활한다",https://www.wikitree.co.kr/articles/952719,위키트리,2024-06-06
[주말 PICK!] ‘꿀잠 고수’ 뽑는다…‘제1회한강잠퍼자기 대회’ 다음 주말...,https://www.nongmin.com/article/20240510500138,농민신문언론사 선정,2024-06-06
"잡코리아-알바몬,한강대학가요제 지원",http://www.newsprime.co.kr/news/article.html?no=638950,프라임경제,2024-06-06
"수출입은행,여의도 한강공원에 '희망의 숲' 3호 조성...""ESG 경영""",https://www.pointdaily.co.kr/news/articleView.html?idxno=202505,포인트데일리,2024-06-06
"한강대교 카페 세계 최초 '교량 호텔'로 변신… 서울시, 1호 숙박체험자 뽑는...",https://www.discoverynews.kr/news/articleView.html?idxno=1044109,디스커버리뉴스,2024-06-06
여의도한강공원서 전시와 공연이 만났다… “APEC 제주 유치를 기원합니다”,https://www.seoul.co.kr/news/economy/industry/2024/05/09/20240509500013?wlog_tag3=naver,서울신문,2024-06-06
"여의도한강공원서 제주 'APEC 정상회의' 유치 공연...""봄이왔제주""",http://news.mt.co.kr/mtview.php?no=2024050815213198174,머니투데이,2024-06-06
학산문화사 '2024 책 읽는한강공원' 참가... 국내외 만화책 및 아동 도서 기...,http://gamefocus.co.kr/detail.php?number=156050,게임포커스,2024-06-06
"김춘곤의원, '2024한강대학가요제' 홍보위원 위촉",https://www.psnews.co.kr/news/articleView.html?idxno=2055474,퍼블릭뉴스,2024-06-06
세계 최초 다리 위 '전망호텔' 생긴다!..서울한강대교 카페가 '교량 호텔'로...,http://www.tournews21.com/news/articleView.html?idxno=70952,투어코리아뉴스,2024-06-06
LG유플러스 U+알뜰폰 온라인몰 ‘알닷’ 론칭…책읽는한강공원오픈,https://www.nspna.com/news/?mode=view&newsid=697178,NSP통신,2024-06-06
"LGU+,여의도한강공원 행사'무너' 활용 이벤트",https://biz.newdaily.co.kr/site/data/html/2024/05/05/2024050500009.html,뉴데일리,2024-05-05
"""이번 주말,한강DJ파티 어때?!""…'2024한강페스티벌_봄' 개막",http://www.dailypop.kr/news/articleView.html?idxno=77909,데일리팝,2024-06-06
"한강공원서한강서식 수달․제비 관찰… 서울시, '생물종 다양성의 날' 기념...",https://www.lecturernews.com/news/articleView.html?idxno=152760,한국강사신문,2024-06-06
"“맞잡은 손 놓지 말자”…BTS, 데뷔 11주년 페스타에 아미 ‘들썩’ [IS포커...",https://isplus.com/article/view/isp202406030085,일간스포츠,2024-06-05
"오토플러스, 지구의 날 맞아한강공원쓰레기 줍는 ‘ESG 플로깅’ 캠페인",http://www.edaily.co.kr/news/newspath.asp?newsid=02765046638859072,이데일리,2024-04-23
"서울시, 1000만 시민 이용하는한강수상시대 열린다",http://www.imwood.co.kr/news/articleView.html?idxno=33160,나무신문,2024-05-06
[하루만보하루천자]편하게한강에서 걷고 뛰자…'러너스테이션' 여의나루역,https://view.asiae.co.kr/article/2024041715460906109,아시아경제,2024-06-06
이번 주말 두발·두바퀴로여의도달린다,http://news.tf.co.kr/read/life/2091622.htm,더팩트,2024-04-17
서울한강에서 APEC 정상회의 제주 유치 기원 문화행사,http://www.jejunews.com/news/articleView.html?idxno=2210873,제주일보,2024-06-06
LG유플러스 '무너'가 함께하는 서울시 야외 도서관 '책읽는한강공원' 오픈,http://www.wsobi.com/news/articleView.html?idxno=239588,여성소비자신문,2024-06-06
"강동소방서 의소대한강자전거 순찰대, 서울안전한마당행사서 안전 캠페인",http://fpn119.co.kr/216231,FPN,2024-06-06
"NH-Amundi운용 임직원들, 농번기 맞아 포도농가 봉사활동 '구슬땀'",http://www.fnnews.com/news/202405300821346041,파이낸셜뉴스,2024-05-31
10월 끝으로 '책읽는한강공원' 대단원 막 내려…여의도·뚝섬에 총 24만명 발...,https://www.lecturernews.com/news/articleView.html?idxno=139265,한국강사신문,2023-11-03
"'10월 결혼' 송지은, ♥박위 또 반하겠네…""오빠 반경 2미터 안""",https://www.xportsnews.com/article/1866791,엑스포츠뉴스,2024-06-06
"[로컬거버넌스] 서울시, ‘책읽는한강공원’ 큰 호응",https://www.siminilbo.co.kr/news/newsview.php?ncode=1160278614200797,시민일보,2023-11-13
"여의도 한강공원에서 ""글로벌한강에코 트레킹"" 활동",http://www.ikoreanspirit.com/news/articleView.html?idxno=73512,K스피릿,2023-09-25
"""올해 '책읽는한강공원' 종료... 내년에 또 만나요""",https://www.ibabynews.com/news/articleView.html?idxno=113393,베이비뉴스,2023-11-02
"서울시,여의도한강공원서 '음식문화박람회' 개최",http://www.metroseoul.co.kr/article/20230928500095,메트로신문,2023-09-28
[#IT라운지] 잡코 '한강대학가요제'·'리디페이'·네이버 '착한가격업소',https://www.newsworks.co.kr/news/articleView.html?idxno=752307,뉴스웍스,2024-06-06
가을밤에 돌아온 '한강달빛야시장'…매주 토‧일여의도한강공원서 열린다,http://www.womennews.co.kr/news/articleView.html?idxno=240420,여성신문,2023-09-15
BTS 페스타행사로 17일여의도 한강공원일대 교통 통제,https://www.yna.co.kr/view/AKR20230614090900004?input=1195m,연합뉴스언론사 선정,2023-06-14
‘BTS 페스타’행사로 오후 2시부터여의도 한강공원일대 교통 통제,https://news.kbs.co.kr/news/view.do?ncd=7701656&ref=A,KBS,2023-06-17
"이사 어플 '짐싸',여의도 한강 공원에서 '피크닉 Re:크닉'행사진행",https://www.mhns.co.kr/news/articleView.html?idxno=555893,문화뉴스,2023-06-28
내일 ‘BTS행사’여의도 한강공원일대 교통통제…14시~22시까지,https://news.kbs.co.kr/news/view.do?ncd=7701136&ref=A,KBS,2023-06-16
내일 'BTS 10주년' 기념행사…여의도한강공원에 30만명 몰린다,https://www.news1.kr/articles/5078676,뉴스1언론사 선정,2023-06-16
내일여의도 한강공원에 아미 30만명 온다...'BTS 10주년 페스타',http://www.fnnews.com/news/202306160746115801,파이낸셜뉴스,2023-06-16
"'방탄소년단(BTS) 10주년 페스타'여의도한강공원30만, 잠실종합운동장 14만...",https://www.lecturernews.com/news/articleView.html?idxno=128876,한국강사신문,2023-06-17
