기준년월,지자체,방문자 구분,방문자수
202306,여의동,현지인방문자(a),2667049.0
202306,여의동,외지인방문자(b),3676274.0
202306,여의동,외국인방문자(c),29525.0
202306,여의동,외부방문자(b+c),3705799.0
202306,여의동,전체방문자(a+b+c),6372848.0
202306,당산2동,현지인방문자(a),821006.0
202306,당산2동,외지인방문자(b),645043.0
202306,당산2동,외국인방문자(c),1986.0
202306,당산2동,외부방문자(b+c),647029.0
202306,당산2동,전체방문자(a+b+c),1468034.0
202306,양평2동,현지인방문자(a),502568.0
202306,양평2동,외지인방문자(b),456078.0
202306,양평2동,외국인방문자(c),2040.0
202306,양평2동,외부방문자(b+c),458118.0
202306,양평2동,전체방문자(a+b+c),960686.0
202307,여의동,현지인방문자(a),2641166.0
202307,여의동,외지인방문자(b),3807216.0
202307,여의동,외국인방문자(c),37954.0
202307,여의동,외부방문자(b+c),3845170.0
202307,여의동,전체방문자(a+b+c),6486336.0
202307,당산2동,현지인방문자(a),815504.0
202307,당산2동,외지인방문자(b),623354.0
202307,당산2동,외국인방문자(c),2754.0
202307,당산2동,외부방문자(b+c),626107.0
202307,당산2동,전체방문자(a+b+c),1441611.0
202307,양평2동,현지인방문자(a),507826.0
202307,양평2동,외지인방문자(b),448329.0
202307,양평2동,외국인방문자(c),2542.0
202307,양평2동,외부방문자(b+c),450871.0
202307,양평2동,전체방문자(a+b+c),958697.0
202308,여의동,현지인방문자(a),2649496.0
202308,여의동,외지인방문자(b),3761891.0
202308,여의동,외국인방문자(c),41556.0
202308,여의동,외부방문자(b+c),3803447.0
202308,여의동,전체방문자(a+b+c),6452943.0
202308,당산2동,현지인방문자(a),753232.0
202308,당산2동,외지인방문자(b),588214.0
202308,당산2동,외국인방문자(c),3297.0
202308,당산2동,외부방문자(b+c),591511.0
202308,당산2동,전체방문자(a+b+c),1344742.0
202308,양평2동,현지인방문자(a),493392.0
202308,양평2동,외지인방문자(b),443499.0
202308,양평2동,외국인방문자(c),2628.0
202308,양평2동,외부방문자(b+c),446127.0
202308,양평2동,전체방문자(a+b+c),939519.0
202309,여의동,현지인방문자(a),2543180.0
202309,여의동,외지인방문자(b),4055306.0
202309,여의동,외국인방문자(c),46126.0
202309,여의동,외부방문자(b+c),4101432.0
202309,여의동,전체방문자(a+b+c),6644613.0
202309,당산2동,현지인방문자(a),753778.0
202309,당산2동,외지인방문자(b),678262.0
202309,당산2동,외국인방문자(c),3673.0
202309,당산2동,외부방문자(b+c),681935.0
202309,당산2동,전체방문자(a+b+c),1435712.0
202309,양평2동,현지인방문자(a),495096.0
202309,양평2동,외지인방문자(b),489160.0
202309,양평2동,외국인방문자(c),3116.0
202309,양평2동,외부방문자(b+c),492276.0
202309,양평2동,전체방문자(a+b+c),987372.0
202310,여의동,현지인방문자(a),2584155.0
202310,여의동,외지인방문자(b),4153268.0
202310,여의동,외국인방문자(c),59682.0
