title,link,source,date
베일 벗은한강대교 위 호텔…1호 숙박 모집에 6000명 몰려,https://www.newsis.com/view/?id=NISX20240527_0002750363&cID=10201&pID=10200,뉴시스언론사 선정,2024-06-06
"""역대급한강뷰, 대체 어디야?""…처음 보는 이 숙소 알고보니 '직녀 카페'",https://www.sedaily.com/NewsView/2D9D5D9IF3,서울경제언론사 선정,2024-06-06
"[ET포토] 조이현, '한강의 햇살 맞으며'",https://www.etnews.com/20240528000133,전자신문,2024-06-06
"한강다리 위에 호텔 생긴다…서울시, 무료숙박 이벤트 진행",https://www.nocutnews.co.kr/news/6146682?utm_source=naver&utm_medium=article&utm_campaign=20240520081840,노컷뉴스언론사 선정,2024-06-06
[TEN포토]조이현 '한강을 밝히는 미모',https://tenasia.hankyung.com/article/2024052879714,텐아시아,2024-06-06
"봉양순 서울시의회 환경수자원위원회 위원장,한강전망호텔 글로벌 홍보 이벤...",https://www.seoul.co.kr/news/publicnews/local_govern/smc_movement/2024/05/30/20240530500031?wlog_tag3=naver,서울신문,2024-05-31
"[사진]황인엽,'한강대교 북단 에어비앤비 숙소 오픈 기념행사참석'",http://www.osen.co.kr/article/G1112344269,OSEN,2024-06-06
서울한강대교 전망 카페가 '교량 호텔'로 변신한다,https://www.newscj.com/news/articleView.html?idxno=3141544,천지일보,2024-06-06
[TRAVEL] 익숙한 듯 낯선...눈부신 봄날의한강피크닉,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00007&news_seq_no=5027624,MBN,2024-06-06
세계 최초 다리 위 '전망호텔' 생긴다!..서울한강대교 카페가 '교량 호텔'로...,http://www.tournews21.com/news/articleView.html?idxno=70952,투어코리아뉴스,2024-06-06
"서울시, 1000만 시민 이용하는한강수상시대 열린다",http://www.imwood.co.kr/news/articleView.html?idxno=33160,나무신문,2024-05-06
"[IS포토] 조이현, 조심스럽게 에어비엔비행사장으로~",http://www.ilyoseoul.co.kr/news/articleView.html?idxno=488438,일요서울,2024-05-30
"[ET포토] 황인엽, '폭풍간지'",https://www.etnews.com/20240528000146,전자신문,2024-06-06
"[ET포토] 조이현, '시크한 미소'",https://www.etnews.com/20240528000129,전자신문,2024-06-06
[TD포토] 황인엽 '볼콕!',http://www.tvdaily.co.kr/read.php3?aid=17168632211712019017,티브이데일리,2024-06-06
"[ET포토] 황인엽, '반전 볼하트'",https://www.etnews.com/20240528000150,전자신문,2024-06-06
"[ET포토] 조이현, '하트 마스크'",https://www.etnews.com/20240528000134,전자신문,2024-06-06
"[ET포토] 조이현, '블랙 바비'",https://www.etnews.com/20240528000136,전자신문,2024-06-06
"[ET포토] 황인엽, '끝내주는 옷빨'",https://www.etnews.com/20240528000143,전자신문,2024-06-06
"[ET포토] 조이현, '만찢 프린세스'",https://www.etnews.com/20240528000126,전자신문,2024-06-06
[TD포토] 조이현 '하트 요정',http://www.tvdaily.co.kr/read.php3?aid=17168623641712008017,티브이데일리,2024-06-06
[TD포토] 조이현 '상큼한 매력',http://www.tvdaily.co.kr/read.php3?aid=17168626821712012017,티브이데일리,2024-06-06
[TD포토] 조이현 '한도초과 귀여움',http://www.tvdaily.co.kr/read.php3?aid=17168628091712013017,티브이데일리,2024-06-06
"[ET포토] 황인엽, '참으로 잘생겼네~'",https://www.etnews.com/20240528000154,전자신문,2024-06-06
"[ET포토] 황인엽, '호수처럼 넓은 어깨'",https://www.etnews.com/20240528000149,전자신문,2024-06-06
[TD포토] 황인엽 '시크한 손인사',http://www.tvdaily.co.kr/read.php3?aid=17168630171712016017,티브이데일리,2024-06-06
[TD포토] 조이현 '시원한 각선미',http://www.tvdaily.co.kr/read.php3?aid=17168621761712006017,티브이데일리,2024-06-06
[TD포토] 황인엽 '훈훈한 볼하트',http://www.tvdaily.co.kr/read.php3?aid=17168631611712017017,티브이데일리,2024-06-06
[TD포토] 조이현 '어깨에 힘좀 줬어요',http://www.tvdaily.co.kr/read.php3?aid=17168622721712007017,티브이데일리,2024-06-06
"[ET포토] 황인엽, '냉미남 매력 흩날리며'",https://www.etnews.com/20240528000139,전자신문,2024-06-06
[TD포토] 아스트로 산하 '멀리서도 훈남',http://www.tvdaily.co.kr/read.php3?aid=17168633761712020017,티브이데일리,2024-06-06
[TD포토] 아스트로 산하 '로맨틱한 눈빛',http://www.tvdaily.co.kr/read.php3?aid=17168636011712022017,티브이데일리,2024-06-06
[TD포토] 조이현 '높은 킬힐에 조심조심',http://www.tvdaily.co.kr/read.php3?aid=17168620511712003017,티브이데일리,2024-06-06
[TEN포토]조이현 '사랑스러워',https://tenasia.hankyung.com/article/2024052879644,텐아시아,2024-06-06
[TEN포토]조이현 '플러팅 눈빛',https://tenasia.hankyung.com/article/2024052879664,텐아시아,2024-06-06
[TEN포토]조이현 '인형같은 만찢녀',https://tenasia.hankyung.com/article/2024052879574,텐아시아,2024-06-06
[TEN포토]조이현 '걸어다니는 인형',https://tenasia.hankyung.com/article/2024052879094,텐아시아,2024-06-06
[TEN포토]황인엽 '귀공자 포스',https://tenasia.hankyung.com/article/2024052878884,텐아시아,2024-06-06
[TEN포토]황인엽 '촉촉한 눈빛',https://tenasia.hankyung.com/article/2024052878794,텐아시아,2024-06-06
[TEN포토]황인엽 '샤프한 옆선',https://tenasia.hankyung.com/article/2024052878714,텐아시아,2024-06-06
"황인엽, 여심 사냥꾼의 화려한 외출[TEN포토+]",https://tenasia.hankyung.com/article/2024052996454,텐아시아,2024-05-30
[TEN포토]황인엽 '오늘도 멋짐',https://tenasia.hankyung.com/article/2024052878754,텐아시아,2024-06-06
"OCI홀딩스,이촌한강공원서 숲 조성 캠페인",http://www.e2news.com/news/articleView.html?idxno=308173,이투뉴스,2024-04-30
[TEN포토]조이현 '점점 더 이뻐지네',https://tenasia.hankyung.com/article/2024052879304,텐아시아,2024-06-06
"OCI홀딩스, 임직원 손잡고이촌 한강공원에 녹지 조성",https://www.econovill.com/news/articleView.html?idxno=653468,이코노믹리뷰,2024-04-29
[TEN포토]황인엽 '남성미 넘치는 외모',https://tenasia.hankyung.com/article/2024052876514,텐아시아,2024-06-06
[TEN포토]아스트로 산하 '극강의 남친미',https://tenasia.hankyung.com/article/2024052880174,텐아시아,2024-06-06
[TEN포토]아스트로 산하 '마성의 분위기남',https://tenasia.hankyung.com/article/2024052879734,텐아시아,2024-06-06
[TEN포토]조이현 '계단 오르기 힘든 초미니',https://tenasia.hankyung.com/article/2024052879274,텐아시아,2024-06-06
[TEN포토]아스트로 산하 '치명적인 하트',https://tenasia.hankyung.com/article/2024052880134,텐아시아,2024-06-06
[TEN포토]황인엽 '분위기 남신...오케이~',https://tenasia.hankyung.com/article/2024052879034,텐아시아,2024-06-06
[TEN포토]아스트로 산하 '우수에 젖은 눈망울',https://tenasia.hankyung.com/article/2024052880144,텐아시아,2024-06-06
[TEN포토]아스트로 산하 '이 미소에 빠져든다',https://tenasia.hankyung.com/article/2024052880054,텐아시아,2024-06-06
[TEN포토]아스트로 산하 '소녀들 심쿵하게 만들어',https://tenasia.hankyung.com/article/2024052880104,텐아시아,2024-06-06
[TEN포토]아스트로 산하 '상남자의 샤프한 비주얼',https://tenasia.hankyung.com/article/2024052880004,텐아시아,2024-06-06
1000대의 드론이한강위에! 지금한강으로 가야하는 이유,https://www.allurekorea.com/2023/09/09/1000%eb%8c%80%ec%9d%98-%eb%93%9c%eb%a1%a0%ec%9d%b4-%ed%95%9c%ea%b0%95-%ec%9c%84%ec%97%90-%ec%a7%80%ea%b8%88-%ed%95%9c%ea%b0%95%ec%9c%bc%eb%a1%9c-%ea%b0%80%ec%95%bc%ed%95%98%eb%8a%94-%ec%9d%b4/?utm_source=naver&utm_medium=partnership,allure,2023-09-09
