title,link,source,date
"한강1km 종단한 오세훈 시장…""수질 깨끗하니 안심""",https://www.hankyung.com/article/202406029674i,한국경제언론사 선정,2024-06-03
"한강을 FUN하게 즐기는 법...수상레포츠부터 캠핑, 축제까지",https://www.etoday.co.kr/news/view/2367303,이투데이,2024-06-05
한강1㎞ 수영해 건넌 오세훈 “물이 믿기지 않을 정도로 깨끗”,https://biz.chosun.com/topics/topics_social/2024/06/03/MUCFXLCEPBCRFK55PWVBZKO7EI/?utm_source=naver&utm_medium=original&utm_campaign=biz,조선비즈언론사 선정,2024-06-04
통창 너머한강한눈에…베일벗은한강대교 호텔 '스카이스위트',https://www.yna.co.kr/view/AKR20240527136300004?input=1195m,연합뉴스언론사 선정,2024-06-06
베일 벗은한강대교 위 호텔…1호 숙박 모집에 6000명 몰려,https://www.newsis.com/view/?id=NISX20240527_0002750363&cID=10201&pID=10200,뉴시스언론사 선정,2024-06-06
"오세훈, '쉬엄쉬엄한강축제' 앞두고 수질·안전 대책 점검",https://www.news1.kr/articles/5431485,뉴스1,2024-05-30
"""느려도 괜찮아""한강서 쉬엄쉬엄 3종 경기",https://www.mk.co.kr/article/11029200,매일경제,2024-06-06
"[동정] 오세훈 시장, '쉬엄쉬엄한강3종 축제' 개막 전 현장점검",https://www.newscj.com/news/articleView.html?idxno=3144529,천지일보,2024-05-30
"[르포]""버킷리스트인한강횡단 이뤘죠""...경기 아닌 축제, '쉬엄쉬엄한강3...",https://www.ajunews.com/view/20240602105650485,아주경제,2024-06-03
"한강에서 주말 보낸 오세훈… ""한강에 들어서는 시설에 더 많은 콘텐츠 담을 ...",http://www.public25.com/news/articleView.html?idxno=15785,공생공사닷컴,2024-06-03
강에서 즐기는 여름… 내달한강3종축제 열린다,https://www.joongang.co.kr/article/25252076,중앙일보,2024-06-06
"한강에서 주말 보낸 오세훈… ""한강에 들어서는 시설에 더 많은 콘텐츠 담을 ...",http://www.public25.com/news/articleView.html?idxno=15785,공생공사닷컴,2024-06-03
내일잠실한강공원'한강불빛 공연' 취소…우천 예보,https://www.news1.kr/articles/5411719,뉴스1,2024-06-06
[TRAVEL] 익숙한 듯 낯선...눈부신 봄날의한강피크닉,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00007&news_seq_no=5027624,MBN,2024-06-06
이 공연 보러 이번 주말 2만명한강간다…드론 1000대가 그리는 빛의 향연,https://www.mk.co.kr/article/11018204,매일경제,2024-06-06
"""철인3종? 쉬엄쉬엄3종!""…한강에서 열리는 여유로운 여름축제",https://www.dailian.co.kr/news/view/1358228/?sc=Naver,데일리안언론사 선정,2024-06-06
"'쉬엄쉬엄한강3종 축제', 뚝섬한강공원서 개최",http://www.enewstoday.co.kr/news/articleView.html?idxno=2127179,이뉴스투데이,2024-06-06
"서울시체육회, '운동도 축제도 쉬엄쉬엄 신나게'한강축제 개최",http://www.g-enews.com/ko-kr/news/article/news_all/202405131344213150f83bf132e7_1/article.html,글로벌이코노믹,2024-06-06
"서울시, 1000만 시민 이용하는한강수상시대 열린다",http://www.imwood.co.kr/news/articleView.html?idxno=33160,나무신문,2024-05-06
"강동송파교육지원청, '부장교사의 날'한강공원서 에듀 피크닉",http://www.edupress.kr/news/articleView.html?idxno=10991,에듀프레스,2023-10-26
"‘클럽·영화관·야간 수영장’…한강, 거대한행사장으로 변한다",https://news.kmib.co.kr/article/view.asp?arcid=0924314365&code=11131400&cp=nv,국민일보,2024-06-06
"‘클럽·영화관·야간 수영장’ 한여름한강, 거대한행사장으로 변한다",https://news.kmib.co.kr/article/view.asp?arcid=0018523303&code=61121111&cp=nv,국민일보,2023-08-01
"서울 주말 데이트 나들이 가볼만한 곳 추천,잠실한강공원한강불빛공연 '한강...",https://www.lecturernews.com/news/articleView.html?idxno=151207,한국강사신문,2024-04-26
